abbreviation, officialName, equation, subSystem, proteinClass, proteinGeneAssociation, geneAssociation, proteinAssociation
"2HMHMBQMTm","2-hexaprenyl-3-methyl-5-hydroxy-6-methoxy-1,4-benzoquinone methyltransferase, mitochondrial","[m] : 2hpmhmbq + amet --> ahcys + h + q6","Quinone Biosynthesis","","( Coq3-m (YOL096C)  and Coq4-m (YDR204W)  and Coq5-m (YML110C)  and Coq6-m (YGR255C)  and Coq7-m (YOR125C)  and Coq8-m (YGL119W)  and Coq9-m (YLR201C)  )","( YOL096C  and  YDR204W  and  YML110C  and  YGR255C  and  YOR125C  and  YGL119W  and  YLR201C )","( Coq3-m and Coq4-m and Coq5-m and Coq6-m and Coq7-m and Coq8-m and Coq9-m )"
"2HP6MPMOm","2-Hexaprenyl-6-methoxyphenol monooxygenase, mitochondrial","[m] : 2hp6mp + o2 --> 2hp6mbq + h2o","Quinone Biosynthesis","","( Coq3-m (YOL096C)  and Coq4-m (YDR204W)  and Coq5-m (YML110C)  and Coq6-m (YGR255C)  and Coq7-m (YOR125C)  and Coq8-m (YGL119W)  and Coq9-m (YLR201C)  )","( YOL096C  and  YDR204W  and  YML110C  and  YGR255C  and  YOR125C  and  YGL119W  and  YLR201C )","( Coq3-m and Coq4-m and Coq5-m and Coq6-m and Coq7-m and Coq8-m and Coq9-m )"
"2HPMBQMTm","2-hexaprenyl-6-methoxy-1,4-benzoquinone methyltransferase, mitochondrial","[m] : 2hp6mbq + amet --> 2hpmmbq + ahcys + h","Quinone Biosynthesis","","( Coq3-m (YOL096C)  and Coq4-m (YDR204W)  and Coq5-m (YML110C)  and Coq6-m (YGR255C)  and Coq7-m (YOR125C)  and Coq8-m (YGL119W)  and Coq9-m (YLR201C)  )","( YOL096C  and  YDR204W  and  YML110C  and  YGR255C  and  YOR125C  and  YGL119W  and  YLR201C )","( Coq3-m and Coq4-m and Coq5-m and Coq6-m and Coq7-m and Coq8-m and Coq9-m )"
"2HPMMBQMOm","2-hexaprenyl-3-methyl-6-methoxy-1,4-benzoquinone monooxygenase, mitochondrial","[m] : 2hpmmbq + (0.5) o2 --> 2hpmhmbq","Quinone Biosynthesis","","( Coq3-m (YOL096C)  and Coq4-m (YDR204W)  and Coq5-m (YML110C)  and Coq6-m (YGR255C)  and Coq7-m (YOR125C)  and Coq8-m (YGL119W)  and Coq9-m (YLR201C)  )","( YOL096C  and  YDR204W  and  YML110C  and  YGR255C  and  YOR125C  and  YGL119W  and  YLR201C )","( Coq3-m and Coq4-m and Coq5-m and Coq6-m and Coq7-m and Coq8-m and Coq9-m )"
"2MBACt","2-methylbutyl transport (extracellular)","2mbac[c] --> 2mbac[e]","Transport, Extracellular","","","",""
"2MBALDt","2-Methylbutanal transport (extracellular)","2mbald[c] <==> 2mbald[e]","Transport, Extracellular","","","",""
"2MBALDtm","2-Methylbutanal transport (mitochondrial)","2mbald[c] <==> 2mbald[m]","Transport, Mitochondrial","","","",""
"2MBTOHt","2-methyl-1-butanol transport (extracellular)","2mbtoh[c] <==> 2mbtoh[e]","Transport, Extracellular","","","",""
"2MBTOHtm","2-methyl-1-butanol transport (mitochondrial)","2mbtoh[c] <==> 2mbtoh[m]","Transport, Mitochondrial","","","",""
"2MPPALt","2-methylpropanal transport (extracellular)","2mppal[c] <==> 2mppal[e]","Transport, Extracellular","","","",""
"2MPPALtm","2-methylpropanal transport (mitochondrial)","2mppal[c] <==> 2mppal[m]","Transport, Mitochondrial","","","",""
"2OBUTtm","2obut transporter (mitochondrial)","2obut[c] <==> 2obut[m]","Transport, Mitochondrial","","","",""
"2OXOADPtim","2-oxoadipate transport out of mitochondria via diffusion","2oxoadp[m] --> 2oxoadp[c]","Transport, Mitochondrial","","","",""
"2PHETOHt","2-phenylethanol reversible transport","2phetoh[e] <==> 2phetoh[c]","Transport, Extracellular","","","",""
"2PHETOHtm","2-phenylethanol reversible transport, mitochondrial","2phetoh[m] <==> 2phetoh[c]","Transport, Mitochondrial","","","",""
"34HPLFM","3-(4-hydroxyphenyl-)lactate formation","[m] : 34hpp + h + nadh --> 34hpl + nad","Quinone Biosynthesis","","","",""
"34HPPOR","4-Hydroxyphenylpyruvate:oxygen oxidoreductase","[c] : 34hpp + o2 --> co2 + hgentis","Tyrosine, Tryptophan, and Phenylalanine Metabolism","1.13.11.27","","",""
"34HPPt2m","3-(4-hydroxyphenyl)pyruvate mitochondrial transport via proton symport","34hpp[c] + h[c] <==> 34hpp[m] + h[m]","Transport, Mitochondrial","","","",""
"34HPPt2p","3-(4-hydroxyphenyl)pyruvate peroxisomal transport via proton symport","34hpp[c] + h[c] <==> 34hpp[x] + h[x]","Transport, Peroxisomal","","","",""
"3C3HMPt","2-Isopropylmalate transport, diffusion","3c3hmp[c] <==> 3c3hmp[e]","Transport, Extracellular","","","",""
"3C3HMPtm","2-Isopropylmalate transport, diffusion, mitochondrial","3c3hmp[c] <==> 3c3hmp[m]","Transport, Mitochondrial","","","",""
"3C4MOPtm","3-Carboxy-4-methyl-2-oxopentanoate transport, diffusion, mitochondrial","3c4mop[c] <==> 3c4mop[m]","Transport, Mitochondrial","","","",""
"3DH5HPBMTm","S-adenosyl-L-methionine:3-hexaprenyl-4,5-dihydroxylate O-methyltransferase, mitochondrial","[m] : 3dh5hpb + amet --> 3hph5mb + ahcys + h","Quinone Biosynthesis","","( Coq3-m (YOL096C)  and Coq4-m (YDR204W)  and Coq5-m (YML110C)  and Coq6-m (YGR255C)  and Coq7-m (YOR125C)  and Coq8-m (YGL119W)  and Coq9-m (YLR201C)  )","( YOL096C  and  YDR204W  and  YML110C  and  YGR255C  and  YOR125C  and  YGL119W  and  YLR201C )","( Coq3-m and Coq4-m and Coq5-m and Coq6-m and Coq7-m and Coq8-m and Coq9-m )"
"3DH5HPBtm","3-Hexaprenyl-4,5-dihydroxybenzoate transport, mitochondrial","3dh5hpb[c] <==> 3dh5hpb[m]","Transport, Mitochondrial","","","",""
"3DSPHR","3-Dehydrosphinganine reductase","[c] : 3dsphgn + h + nadph --> nadp + sphgn","Sphingolipid Metabolism","1.1.1.102","Tsc10 (YBR265W) ","YBR265W","Tsc10"
"3HAO","3-hydroxyanthranilate 3,4-dioxygenase","[c] : 3hanthrn + o2 --> cmusa + h","Tyrosine, Tryptophan, and Phenylalanine Metabolism","1.13.11.6","Bna1 (YJR025C) ","YJR025C","Bna1"
"3HPH5MBDCm","3-Hexaprenyl-4-hydroxy-5-methoxybenzoate decarboxylase, mitochondrial","[m] : 3hph5mb --> 2hp6mp + co2","Quinone Biosynthesis","","","",""
"3IPM3MT","3-Isopropylmalate 3-methyltransferase","[c] : 3c2hmp + amet --> 3ipmmest + ahcys","Complex Alcohol Metabolism","2.1.1.145","Tmt1 (YER175C) ","YER175C","Tmt1"
"3MBALDt","3-methylbutanal transport (extracellular)","3mbald[c] <==> 3mbald[e]","Transport, Extracellular","","","",""
"3MBALDtm","3-methylbutanal transport (mitochondrial)","3mbald[c] <==> 3mbald[m]","Transport, Mitochondrial","","","",""
"3MOBDC","3-Methyl-2-oxobutanoate decarboxylase","[c] : 3mob + h --> 2mppal + co2","Complex Alcohol Metabolism","","( Pdc5 (YLR134W)  ) or ( Pdc1 (YLR044C)  ) or ( Pdc6 (YGR087C)  ) or ( Pdc6 (YGR087C)  )","( YLR134W  or  YLR044C  or  ( YGR087C  and  YGR087C ) )","( Pdc5 ) or ( Pdc1 ) or ( Pdc6 ) or ( Pdc6 )"
"3MOBtm","3-methyl-2-oxobutanoate transport, diffusion, mitochondrial","3mob[c] <==> 3mob[m]","Transport, Mitochondrial","","","",""
"3MOPDC","3-Methyl-2-oxopentanoate decarboxylase","[c] : 3mop + h --> 2mbald + co2","Complex Alcohol Metabolism","","( Pdc1 (YLR044C)  ) or ( Thi3 (YDL080C)  ) or ( Pdc5 (YLR134W)  ) or ( Pdc6 (YGR087C)  ) or ( Aro10 (YDR380W)  )","( YLR044C  or  YDL080C  or  YLR134W  or  YGR087C  or  YDR380W )","( Pdc1 ) or ( Thi3 ) or ( Pdc5 ) or ( Pdc6 ) or ( Aro10 )"
"3MOPt","3mop reversible trasport","3mop[e] <==> 3mop[c]","Transport, Extracellular","","","",""
"3MOPtm","3-Methyl-2-oxopentanoate transport, diffusion, mitochondrial","3mop[c] <==> 3mop[m]","Transport, Mitochondrial","","","",""
"3OPHB5Hm","3-Hexaprenyl-4,5-dihydroxybenzoate hydroxylase, mitochondrial","[c] : 3ophb_5 + (0.5) o2 --> 3dh5hpb","Quinone Biosynthesis","","","",""
"3OPHB_5tm","3-Octaprenyl-4-hydroxybenzoate mitochondrial transport","3ophb_5[c] <==> 3ophb_5[m]","Transport, Mitochondrial","","","",""
"4ABUTNtm","4-aminobutanal mitochondrial transport via diffusion","4abutn[c] <==> 4abutn[m]","Transport, Mitochondrial","","","",""
"4ABUTtm","4-aminobutanoate mitochondrial transport via diffusion","4abut[c] <==> 4abut[m]","Transport, Mitochondrial","","","",""
"4ABZt","4-Aminobenzoate mitochondrial transport via diffusion","4abz[c] <==> 4abz[e]","Transport, Extracellular","","","",""
"4ABZtm","4-Aminobenzoate mitochondrial transport via diffusion","4abz[c] <==> 4abz[m]","Transport, Mitochondrial","","","",""
"4H2OGLTtm","4-hydroxy-2-oxoglutarate mitochondrial transport via diffusion","4h2oglt[c] <==> 4h2oglt[m]","Transport, Mitochondrial","","","",""
"4H2OGLTtp","4-hydroxy-2-oxoglutarate peroxisomal transport via diffusion","4h2oglt[c] <==> 4h2oglt[x]","Transport, Peroxisomal","","","",""
"4HBZCOAFm","4-hydroxybenzoyl-CoA formation","[m] : coa + coucoa + h2o + nad --> 4hbzcoa + accoa + h + nadh","Quinone Biosynthesis","","","",""
"4HBZFm","4-hydroxybenzoate formation","[m] : 4hbzcoa + h2o --> 4hbz + coa + h","Quinone Biosynthesis","","","",""
"4HBZtm","4-Hydroxybenzoate mitochondrial transport","4hbz[c] <==> 4hbz[m]","Transport, Mitochondrial","","","",""
"4HGLSDm","L-4-hydroxyglutamate semialdehyde dehydrogenase, mitochondrial","[m] : 4hglusa + h2o + nad <==> e4hglu + (2) h + nadh","Arginine and Proline Metabolism","1.5.1.12","Put2-m (YHR037W) ","YHR037W","Put2-m"
"4HPRO-LTtm","trans-4-hydroxy-L-proline mitochondrial transport via diffusion","4hpro-LT[c] <==> 4hpro-LT[m]","Transport, Mitochondrial","","","",""
"4HTHRS","4-Hydroxy-L-threonine synthase","[c] : h2o + phthr --> 4hthr + pi","Threonine and Lysine Metabolism","","Thr4 (YCR053W) ","YCR053W","Thr4"
"4MOPDC","4-Methyl-2-oxopentanoate decarboxylase","[c] : 4mop + h --> 3mbald + co2","Complex Alcohol Metabolism","","( Thi3 (YDL080C)  ) or ( Aro10 (YDR380W)  )","( YDL080C  or  YDR380W )","( Thi3 ) or ( Aro10 )"
"5AOPt2","5-Aminolevulinate transport in via proton symport","5aop[e] + h[e] --> 5aop[c] + h[c]","Transport, Extracellular","","Uga4 (YDL210W) ","YDL210W","Uga4"
"5AOPtm","5-Aminolevulinate mitochondrial transport","5aop[c] <==> 5aop[m]","Transport, Mitochondrial","","","",""
"6PGLter","6-phospho-D-glucono-1,5-lactone endoplasmic reticular transport via diffusion","6pgl[c] <==> 6pgl[r]","Transport, Endoplasmic Reticular","","","",""
"8AONNt2","8-Amino-7-oxononanoate reversible transport via proton symport","8aonn[e] + h[e] <==> 8aonn[c] + h[c]","Transport, Extracellular","","Bio5 (YNR056C) ","YNR056C","Bio5"
"AABTN","4-acetamidobutyrate deacetylase","[c] : 4aabutn + h2o --> 4abut + ac","Other Amino Acid Metabolism","3.5.1.63","","",""
"AACTOOR","Aminoacetone:oxygen oxidoreductase(deaminating)(flavin-containing)","[c] : aact + h2o + o2 --> h2o2 + mthgxl + nh4","Alternate Carbon Metabolism","","","",""
"AASAD1","L-aminoadipate-semialdehyde dehydrogenase (NADPH)","[c] : L2aadp + atp + h + nadph --> L2aadp6sa + amp + nadp + ppi","Threonine and Lysine Metabolism","1.2.1.31","Lys25 ( YBR115C and YGL154C ) ","( YBR115C  and  YGL154C )","Lys25"
"AASAD2","L-aminoadipate-semialdehyde dehydrogenase (NADH)","[c] : L2aadp + atp + h + nadh --> L2aadp6sa + amp + nad + ppi","Threonine and Lysine Metabolism","1.2.1.31","Lys25 ( YBR115C and YGL154C ) ","( YBR115C  and  YGL154C )","Lys25"
"AATA","2-aminoadipate transaminase","[c] : 2oxoadp + glu-L <==> L2aadp + akg","Threonine and Lysine Metabolism","2.6.1.39","","",""
"ABTA","4-aminobutyrate transaminase","[c] : 4abut + akg --> glu-L + sucsal","Glutamate metabolism","2.6.1.19","Uga1 (YGR019W) ","YGR019W","Uga1"
"ABTt","L-arabinitol transport via passive diffusion","abt[e] <==> abt[c]","Transport, Extracellular","","","",""
"ABUTDm","Aminobutyraldehyde dehydrogenase, mitochondrial","[m] : 4abutn + h2o + nad --> 4abut + (2) h + nadh","Other Amino Acid Metabolism","1.2.1.19","( Ald4-m (YOR374W)  ) or ( Ald5-m (YER073W)  )","( YOR374W  or  YER073W )","( Ald4-m ) or ( Ald5-m )"
"ABUTt2r","4-aminobutyrate reversible transport in via proton symport","4abut[e] + h[e] <==> 4abut[c] + h[c]","Transport, Extracellular","","( Put4 (YOR348C)  ) or ( Uga4 (YDL210W)  )","( YOR348C  or  YDL210W )","( Put4 ) or ( Uga4 )"
"ACACT1","acetyl-CoA C-acetyltransferase","[c] : (2) accoa --> aacoa + coa","Fatty Acid  Biosynthesis","2.3.1.9","Erg10 (YPL028W) ","YPL028W","Erg10"
"ACACT1m","acetyl-CoA C-acetyltransferase, mitochondrial","[m] : (2) accoa --> aacoa + coa","Fatty Acid  Biosynthesis","2.3.1.9","Erg10-m (YPL028W) ","YPL028W","Erg10-m"
"ACACT4p","acetyl-CoA C-acetyltransferase (octanoyl-CoA), peroxisomal","[x] : 3odcoa + coa --> accoa + occoa","Fatty Acid Degradation","2.3.1.16","Pot1-p (YIL160C) ","YIL160C","Pot1-p"
"ACACT5p","acetyl-CoA C-acyltransferase (decanoyl-CoA), peroxisomal","[x] : 3oddcoa + coa --> accoa + dcacoa","Fatty Acid Degradation","2.3.1.16","Pot1-p (YIL160C) ","YIL160C","Pot1-p"
"ACACT6p","acetyl-CoA C-acetyltransferase (dodecanoyl), peroxisomal","[x] : 3otdcoa + coa --> accoa + ddcacoa","Fatty Acid Degradation","2.3.1.16","Pot1-p (YIL160C) ","YIL160C","Pot1-p"
"ACACT7p","acetyl-CoA acyltransferase (tetradecanoyl-CoA), peroxisomal","[x] : 3ohdcoa + coa --> accoa + tdcoa","Fatty Acid Degradation","2.3.1.16","Pot1-p (YIL160C) ","YIL160C","Pot1-p"
"ACACT8p","acetyl-CoA acyltransferase (hexadecanoyl-CoA), peroxisomal","[x] : 3ohodcoa + coa --> accoa + pmtcoa","Fatty Acid Degradation","2.3.1.16","Pot1-p (YIL160C) ","YIL160C","Pot1-p"
"ACACT9p","acetyl-CoA acyltransferase (tetracosanoyl-CoA), peroxisomal","[x] : 3ohxccoa + coa --> accoa + ttccoa","Fatty Acid Degradation","2.3.1.16","Pot1-p (YIL160C) ","YIL160C","Pot1-p"
"ACALDCD","Acetaldehyde condensation","[c] : (2) acald --> actn-R","Alternate Carbon Metabolism","","( Pdc1 (YLR044C)  ) or ( Pdc6 (YGR087C)  ) or ( Pdc5 (YLR134W)  )","( YLR044C  or  YGR087C  or  YLR134W )","( Pdc1 ) or ( Pdc6 ) or ( Pdc5 )"
"ACALDt","acetaldehyde reversible transport","acald[e] <==> acald[c]","Transport, Extracellular","","","",""
"ACALDtm","acetaldehyde mitochondrial diffusion","acald[m] <==> acald[c]","Transport, Mitochondrial","","","",""
"ACCOACr","acetyl-CoA carboxylase, reversible reaction","[c] : accoa + atp + hco3 <==> adp + h + malcoa + pi","Fatty Acid  Biosynthesis","6.4.1.2","Acc1 (YNR016C) ","YNR016C","Acc1"
"ACCOACrm","Acetyl-Coa carboxylase, mitochondrial","[m] : accoa + atp + hco3 <==> adp + h + malcoa + pi","Fatty Acid  Biosynthesis","6.4.1.2","Hfa1-m (YMR207C) ","YMR207C","Hfa1-m"
"ACCOAtn","acetyl-CoA transport, nuclear","accoa[c] <==> accoa[n]","Transport, Nuclear","","","",""
"ACESt","acetic ester transport (extracellular)","aces[c] --> aces[e]","Transport, Extracellular","","","",""
"ACGAM6PS","N-acetylglucosamine-6-phosphate synthase","[c] : accoa + gam6p <==> acgam6p + coa + h","Glutamate metabolism","2.3.1.4","Gna1 (YFL017C) ","YFL017C","Gna1"
"ACGAMPM","phosphoacetylglucosamine mutase","[c] : acgam6p <==> acgam1p","Glutamate metabolism","5.4.2.3","Pcm1 (YEL058W) ","YEL058W","Pcm1"
"ACGKm","acetylglutamate kinase, mitochondrial","[m] : acglu + atp --> acg5p + adp","Arginine and Proline Metabolism","2.7.2.8","Arg5-m (YER069W) ","YER069W","Arg5-m"
"ACGSm","N-acteylglutamate synthase, mitochondrial","[m] : accoa + glu-L --> acglu + coa + h","Arginine and Proline Metabolism","2.3.1.1","( Ecm40-m (YMR062C)  ) or ( Arg2-m (YJL071W)  )","( YMR062C  or  YJL071W )","( Ecm40-m ) or ( Arg2-m )"
"ACHBSm","2-aceto-2-hydroxybutanoate synthase, mitochondrial","[m] : 2obut + h + pyr --> 2ahbut + co2","Valine, Leucine, and Isoleucine Metabolism","4.1.3.18","Ilv26-m ( YCL009C and YMR108W ) ","( YCL009C  and  YMR108W )","Ilv26-m"
"ACHLE1","Isoamyl acetate-hydrolyzing esterase","[c] : h2o + iamac --> ac + h + iamoh","Complex Alcohol Metabolism","","Iah1 (YOR126C) ","YOR126C","Iah1"
"ACHLE2","Isobutyl acetate-hydrolyzing esterase","[c] : h2o + ibutac --> ac + h + ibutoh","Complex Alcohol Metabolism","","Iah1 (YOR126C) ","YOR126C","Iah1"
"ACHLE3","Ethyl acetate-hydrolyzing esterase","[c] : aces + h2o --> ac + etoh + h","Complex Alcohol Metabolism","","Iah1 (YOR126C) ","YOR126C","Iah1"
"ACLSm","acetolactate synthase, mitochondrial","[m] : h + (2) pyr --> alac-S + co2","Valine, Leucine, and Isoleucine Metabolism","4.1.3.18","Ilv26-m ( YCL009C and YMR108W ) ","( YCL009C  and  YMR108W )","Ilv26-m"
"ACOAHim","acetyl-CoA hydrolase, mitochondrial (irreversible)","[m] : accoa + h2o --> ac + coa + h","Pyruvate Metabolism","3.1.2.1","Ach1-m (YBL015W) ","YBL015W","Ach1-m"
"ACOAO4p","acyl-CoA oxidase (decanoyl-CoA), peroxisomal","[x] : dcacoa + o2 --> dc2coa + h2o2","Fatty Acid Degradation","1.3.3.6","Pox1-p (YGL205W) ","YGL205W","Pox1-p"
"ACOAO5p","acyl-CoA oxidase (dodecanoyl-CoA), peroxisomal","[x] : ddcacoa + o2 --> dd2coa + h2o2","Fatty Acid Degradation","1.3.3.6","Pox1-p (YGL205W) ","YGL205W","Pox1-p"
"ACOAO6p","acyl-CpA oxidase (tetradecanoyl-CoA), peroxisomal","[x] : o2 + tdcoa --> h2o2 + td2coa","Fatty Acid Degradation","1.3.3.6","Pox1-p (YGL205W) ","YGL205W","Pox1-p"
"ACOAO7p","acyl-CoA oxidase (hexadecanoyl-CoA), peroxisomal","[x] : o2 + pmtcoa --> h2o2 + hdd2coa","Fatty Acid Degradation","1.3.3.6","Pox1-p (YGL205W) ","YGL205W","Pox1-p"
"ACOAO8p","acyl-CoA oxidase (octadecanoyl-CoA), peroxisomal","[x] : o2 + stcoa --> h2o2 + od2coa","Fatty Acid Degradation","1.3.3.6","Pox1-p (YGL205W) ","YGL205W","Pox1-p"
"ACOAO9p","acyl-CoA oxidase (hexacanoyl-CoA), peroxisomal","[x] : hexccoa + o2 --> h2o2 + hxc2coa","Fatty Acid Degradation","1.3.3.6","Pox1-p (YGL205W) ","YGL205W","Pox1-p"
"ACOATA","Acetyl-CoA ACP transacylase","[c] : ACP + accoa <==> acACP + coa","Fatty Acid  Biosynthesis","2.3.1.38","Fas ( YKL182W and YPL231W ) ","( YKL182W  and  YPL231W )","Fas"
"ACOATAm","Acetyl-CoA ACP transacylase","[m] : ACP + accoa <==> acACP + coa","Fatty Acid  Biosynthesis","2.3.1.41","( Acp1-m (YKL192C)  and Cem1-m (YER061C)  and Htd2-m (YHR067W)  and Mct1-m (YOR221C)  and Mrf1-m (YBR026C)  and Oar1-m (YKL055C)  )","( YKL192C  and  YER061C  and  YHR067W  and  YOR221C  and  YBR026C  and  YKL055C )","( Acp1-m and Cem1-m and Htd2-m and Mct1-m and Mrf1-m and Oar1-m )"
"ACON3MT","trans-aconitate 3-methyltransferase","[c] : acon-T + amet --> acon5m + ahcys","Other","2.1.1.145","Tmt1 (YER175C) ","YER175C","Tmt1"
"ACONT","aconitase","[c] : cit <==> icit","Citric Acid Cycle","4.2.1.3","Aco1 (YLR304C) ","YLR304C","Aco1"
"ACONT3m","aconitase, mitochondrial","[m] : 2mcit <==> micit","Anaplerotic reactions","4.2.1.3","Pdh1-m (YPR002W) ","YPR002W","Pdh1-m"
"ACONTm","Aconitate hydratase","[m] : cit <==> icit","Citric Acid Cycle","4.2.1.3","( Aco1-m (YLR304C)  ) or ( Aco2-m (YJL200C)  )","( YLR304C  or  YJL200C )","( Aco1-m ) or ( Aco2-m )"
"ACOTAim","acteylornithine transaminase, irreversible, mitochondrial","[m] : acg5sa + glu-L --> acorn + akg","Arginine and Proline Metabolism","2.6.1.11","Arg8-m (YOL140W) ","YOL140W","Arg8-m"
"ACP1e","acid phosphatase, extracellular (secreted)","[e] : fmn + h2o --> pi + ribflv","Riboflavin Metabolism","3.1.3.2","( Pho5-e (YBR093C)  ) or ( Pho11-e (YAR071W)  )","( YBR093C  or  YAR071W )","( Pho5-e ) or ( Pho11-e )"
"ACPSm","acyl carrier protein synthase, mitochondrial","[m] : coa + h2o --> (2) h + pan4p + pap","Pantothenate and CoA Biosynthesis","","Ppt2-m (YPL148C) ","YPL148C","Ppt2-m"
"ACRNtm","O-acetylcarnintine transport into mitochondria via diffusion","acrn[c] --> acrn[m]","Transport, Mitochondrial","","","",""
"ACRNtp","acetylcarnitine transport out of peroxisome","acrn[x] --> acrn[c]","Transport, Peroxisomal","","","",""
"ACS","acetyl-CoA synthetase","[c] : ac + atp + coa --> accoa + amp + ppi","Pyruvate Metabolism","6.2.1.1","Acs2 (YLR153C) ","YLR153C","Acs2"
"ACSm","acetyl-CoA synthetase","[m] : ac + atp + coa --> accoa + amp + ppi","Pyruvate Metabolism","6.2.1.1","Acs1-m (YAL054C) ","YAL054C","Acs1-m"
"ACSp","acetyl-CoA synthetase","[x] : ac + atp + coa --> accoa + amp + ppi","Pyruvate Metabolism","6.2.1.1","Acs1-p (YAL054C) ","YAL054C","Acs1-p"
"ACt2r","acetate reversible transport via proton symport","ac[e] + h[e] <==> ac[c] + h[c]","Transport, Extracellular","","Bph1 (YCR032W) ","YCR032W","Bph1"
