GENE ID	GENE ALIASES	START	END	FUNCTIONAL ROLES	SUBSYSTEMS	SUBSYSTEM CLASS	REACTIONS
peg.15	"yaaG,Bsu0015,NP_387896.1,gi|16077083,GeneID:937037"	23144	23144	Deoxyadenosine kinase (EC 2.7.1.76)|Deoxyguanosine kinase (EC 2.7.1.113)	Purine_conversions|PnuC-like_transporters	"Nucleosides and Nucleotides|Cofactors, Vitamins, Prosthetic Groups, Pigments"	rxn01444|rxn01508
peg.16	"yaaH,Bsu0016,NP_387897.1,gi|16077084,GeneID:937029"	23866	23866	"Spore cortex-lytic enzyme, N-acetylglucosaminidase SleL (EC 3.2.1.-)"			
peg.17	"yaaI,Bsu0017,NP_387898.1,gi|16077085,GeneID:937036"	25219	25219	Nicotinamidase (EC 3.5.1.19)	NAD_and_NADP_cofactor_biosynthesis_global|NAD_regulation|Redox-dependent_regulation_of_nucleus_processes	"Cofactors, Vitamins, Prosthetic Groups, Pigments|Stress Response"	rxn00938
peg.18	"yaaJ,Bsu0018,NP_387899.1,gi|16077086,GeneID:937989"	25850	25850	tRNA-specific adenosine-34 deaminase (EC 3.5.4.-)	tRNA_modification_Bacteria|tRNA_processing	RNA Metabolism	
peg.19	"dnaX,Bsu0019,NP_387900.1,gi|16077087,GeneID:936899"	26812	26812	DNA polymerase III subunits gamma and Tau (EC 2.7.7.7)	DNA-replication	DNA Metabolism	rxn05294
peg.20	"yaaK,Bsu0020,NP_387901.1,gi|16077088,GeneID:937027"	28527	28527	Transcriptional regulatory protein			
peg.21	"recR,Bsu0021,NP_387902.1,gi|16077089,GeneID:937197"	28865	28865	Recombination protein RecR	"DNA-replication|DNA_repair,_bacterial_RecFOR_pathway"	DNA Metabolism	
peg.22	"yaaL,Bsu0022,NP_387903.1,gi|16077090,GeneID:937026"	29479	29479				
peg.23	"bofA,Bsu0023,NP_387904.1,gi|16077091,GeneID:937025"	29770	29770	inhibitor of the pro-sigma-K processing machinery			
peg.24	"csfB,Bsu0024,NP_387905.1,gi|16077092,GeneID:937016"	35529	35529	alternate gene name: yaaM sigma-F transcribed gene			
peg.25	"xpaC,Bsu0025,NP_387906.1,gi|16077093,GeneID:937019"	35843	35843	hydrolysis of 5-bromo 4-chloroindolyl phosphate (X-phos)			
peg.26	"yaaN,Bsu0026,NP_387907.1,gi|16077094,GeneID:936551"	36476	36476	Tellurite resistance protein			
peg.27	"yaaO,Bsu0027,NP_387908.1,gi|16077095,GeneID:937013"	37718	37718	Arginine decarboxylase (EC 4.1.1.19)|Lysine decarboxylase (EC 4.1.1.18)	Arginine_and_Ornithine_Degradation|Polyamine_Metabolism|Lysine_degradation	Amino Acids and Derivatives	rxn00322|rxn00405
peg.28	"tmk,Bsu0028,NP_387909.1,gi|16077096,GeneID:937018"	39157	39157	Thymidylate kinase (EC 2.7.4.9)	pyrimidine_conversions	Nucleosides and Nucleotides	rxn01513|rxn01517
peg.29	"yaaQ,Bsu0029,NP_387910.1,gi|16077097,GeneID:938610"	39869	39869	"protein from nitrogen regulatory protein P-II (GLNB) family, ortholog YAAQ B. subtilis"			
peg.30	"yaaR,Bsu0030,NP_387911.1,gi|16077098,GeneID:936756"	40211	40211	DUF327 domain-containing protein			
peg.31	"holB,Bsu0031,NP_387912.1,gi|16077099,GeneID:935949"	40663	40663	DNA polymerase III delta prime subunit (EC 2.7.7.7)	DNA-replication	DNA Metabolism	rxn05294
peg.32	"yaaT,Bsu0032,NP_387913.1,gi|16077100,GeneID:937012"	41655	41655	Signal peptidase-like protein|Stage 0 sporulation protein YaaT			
peg.33	"yabA,Bsu0033,NP_387914.1,gi|16077101,GeneID:937008"	42497	42497	DNA replication intiation control protein YabA			
peg.34	"yabB,Bsu0034,NP_387915.1,gi|16077102,GeneID:937011"	42915	42915	COG4123: Predicted O-methyltransferase	rRNA_modification_Bacteria|tRNA_modification_Bacteria	RNA Metabolism	
peg.35	"yazA,Bsu0035,NP_387916.1,gi|16077103,GeneID:937002"	43645	43645	COG2827: putative endonuclease containing a URI domain			
peg.36	"yabC,Bsu0036,NP_387917.1,gi|16077104,GeneID:937010"	43919	43919	Tetrapyrrole (Corrin-Porphyrin) methylase family protein UPF0011			
peg.37	"abrB,Bsu0037,NP_387918.1,gi|16077105,GeneID:937009"	44846	44846	Transition state regulatory protein AbrB	Poly-gamma-glutamate_biosynthesis	Amino Acids and Derivatives	
peg.38	"metS,Bsu0038,NP_387919.1,gi|16077106,GeneID:936877"	45631	45631	Methionyl-tRNA synthetase (EC 6.1.1.10)	tRNA_aminoacylation	Protein Metabolism	rxn05296
peg.39	"yabD,Bsu0039,NP_387920.1,gi|16077107,GeneID:936949"	47704	47704	Putative deoxyribonuclease YcfH			
peg.40	"yabE,Bsu0040,NP_387921.1,gi|16077108,GeneID:936891"	48627	48627	Cell wall-binding protein			
peg.41	"yabF,Bsu0041,NP_387922.1,gi|16077109,GeneID:937001"	50085	50085	Ribonuclease M5 (EC 3.1.26.8)	Ribosome_biogenesis_bacterial	Protein Metabolism	
peg.42	"ksgA,Bsu0042,NP_387923.1,gi|16077110,GeneID:936358"	50638	50638	Dimethyladenosine transferase (EC 2.1.1.-)	Ribosome_biogenesis_bacterial|rRNA_modification_Bacteria	Protein Metabolism|RNA Metabolism	
peg.43	"yabG,Bsu0043,NP_387924.1,gi|16077111,GeneID:937005"	51678	51678				
peg.44	"veg,Bsu0044,NP_387925.1,gi|16077112,GeneID:936744"	52761	52761	Veg protein			
peg.45	"sspF,Bsu0045,NP_387926.1,gi|16077113,GeneID:936996"	53181	53181	small acid-soluble spore protein (alpha/beta-type SASP)			
peg.46	"yabH,Bsu0046,NP_387927.1,gi|16077114,GeneID:936970"	53514	53514	4-diphosphocytidyl-2-C-methyl-D-erythritol kinase (EC 2.7.1.148)	Isoprenoid_Biosynthesis|Nonmevalonate_Branch_of_Isoprenoid_Biosynthesis|polyprenyl_synthesis	"Cofactors, Vitamins, Prosthetic Groups, Pigments"	rxn03908
peg.47	"purR,Bsu0047,NP_387928.1,gi|16077115,GeneID:937000"	54439	54439	negative regulation of the purine operon (purEKBCLQFMNHD)			
peg.48	"yabJ,Bsu0048,NP_387929.1,gi|16077116,GeneID:936988"	55293	55293	UPF0076 protein yabJ			
peg.49	"spoVG,Bsu0049,NP_387930.1,gi|16077117,GeneID:936959"	55864	55864				
peg.50	"gcaD,Bsu0050,NP_387931.1,gi|16077118,GeneID:936139"	56350	56350	Glucosamine-1-phosphate N-acetyltransferase (EC 2.3.1.157)|N-acetylglucosamine-1-phosphate uridyltransferase (EC 2.7.7.23)	Sialic_Acid_Metabolism|Iojap	Cell Wall and Capsule|Protein Metabolism	rxn03638|rxn00293
peg.51	"prs,Bsu0051,NP_387932.1,gi|16077119,GeneID:936985"	57743	57743	Ribose-phosphate pyrophosphokinase (EC 2.7.6.1)	De_Novo_Purine_Biosynthesis|Pentose_phosphate_pathway|YgfZ	"Nucleosides and Nucleotides|Carbohydrates|Cofactors, Vitamins, Prosthetic Groups, Pigments"	rxn00770
peg.52	"ctc,Bsu0052,NP_387933.1,gi|16077120,GeneID:936984"	58781	58781	LSU ribosomal protein L25p	Ribosome_LSU_bacterial	Protein Metabolism	
peg.53	"spoVC,Bsu0053,NP_387934.1,gi|16077121,GeneID:936740"	59502	59502	Peptidyl-tRNA hydrolase (EC 3.1.1.29)	Translation_factors_bacterial	Protein Metabolism	
peg.54	"yabK,Bsu0054,NP_387935.1,gi|16077122,GeneID:936978"	60128	60128				
peg.55	"mfd,Bsu0055,NP_387936.1,gi|16077123,GeneID:936653"	60428	60428	Transcription-repair coupling factor	DNA-replication|Transcription_factors_bacterial	DNA Metabolism|RNA Metabolism	
peg.56	"spoVT,Bsu0056,NP_387937.1,gi|16077124,GeneID:936975"	64097	64097	"Stage V sporulation protein T, AbrB family transcriptional regulator (SpoVT)"			
peg.57	"yabM,Bsu0057,NP_387938.1,gi|16077125,GeneID:936539"	64815	64815	Low temperature requirement B protein			
peg.58	"yabN,Bsu0058,NP_387939.1,gi|16077126,GeneID:936973"	66403	66403	tetrapyrrole methylase family protein/MazG family protein			
peg.59	"yabO,Bsu0059,NP_387940.1,gi|16077127,GeneID:936800"	67875	67875	Heat shock protein 15|Ribosome-associated heat shock protein			
peg.60	"yabP,Bsu0060,NP_387941.1,gi|16077128,GeneID:936966"	68214	68214	YabP protein			
peg.61	"yabQ,Bsu0061,NP_387942.1,gi|16077129,GeneID:936971"	68513	68513	Spore cortex biosynthesis protein			
peg.62	"divIC,Bsu0062,NP_387943.1,gi|16077130,GeneID:936786"	69166	69166	Cell division protein DivIC	Bacterial_Cell_Division	Cell Division and Cell Cycle	
peg.63	"yabR,Bsu0063,NP_387944.1,gi|16077131,GeneID:936574"	69624	69624	"RNA binding protein, contains ribosomal protein S1 domain"			
peg.64	"spoIIE,Bsu0064,NP_387945.1,gi|16077132,GeneID:938480"	70536	70536	Stage II sporulation serine phosphatase for sigma-F activation (SpoIIE)			
peg.65	"yabS,Bsu0065,NP_387946.1,gi|16077133,GeneID:936965"	73104	73104				
peg.66	"yabT,Bsu0066,NP_387947.1,gi|16077134,GeneID:936964"	73930	73930	Probable serine/threonine-protein kinase yabT (EC 2.7.11.1)			
peg.67	"yacA,Bsu0067,NP_387948.1,gi|16077135,GeneID:936922"	74927	74927	tRNA(Ile)-lysidine synthetase	tRNA_modification_Bacteria|tRNA_processing	RNA Metabolism	rxn05296
peg.68	"hprT,Bsu0068,NP_387949.1,gi|16077136,GeneID:936945"	76342	76342	Hypoxanthine-guanine phosphoribosyltransferase (EC 2.4.2.8)	Purine_conversions	Nucleosides and Nucleotides	rxn00915|rxn00836|rxn01544
peg.69	"ftsH,Bsu0069,NP_387950.1,gi|16077137,GeneID:938094"	76982	76982	Cell division protein FtsH (EC 3.4.24.-)	Bacterial_Cell_Division	Cell Division and Cell Cycle	
peg.70	"yacB,Bsu0070,NP_387951.1,gi|16077138,GeneID:936960"	79090	79090	"Pantothenate kinase type III, CoaX-like (EC 2.7.1.33)"	Coenzyme_A_Biosynthesis	"Cofactors, Vitamins, Prosthetic Groups, Pigments"	rxn12510
peg.71	"yacC,Bsu0071,NP_387952.1,gi|16077139,GeneID:936762"	79877	79877	Chaperonin (heat shock protein 33)	Streptococcus_pyogenes_recombinatorial_zone	Virulence	
peg.72	"yacD,Bsu0072,NP_387953.1,gi|16077140,GeneID:936955"	80799	80799	Foldase protein PrsA precursor (EC 5.2.1.8)	Peptidyl-prolyl_cis-trans_isomerase	Protein Metabolism	
peg.73	"cysK,Bsu0073,NP_387954.1,gi|16077141,GeneID:936636"	81768	81768	Cysteine synthase (EC 2.5.1.47)	Cysteine_Biosynthesis|Methionine_Biosynthesis	Amino Acids and Derivatives	rxn00649|rxn05733
peg.74	"pabB,Bsu0074,NP_387955.1,gi|16077142,GeneID:936926"	82861	82861	"Para-aminobenzoate synthase, aminase component (EC 2.6.1.85)"	"Chorismate:_Intermediate_for_synthesis_of_PAPA_antibiotics,_PABA,_anthranilate,_3-hydroxyanthranilate_and_more.|Folate_Biosynthesis|Tryptophan_synthesis"	"Amino Acids and Derivatives|Cofactors, Vitamins, Prosthetic Groups, Pigments"	rxn01257
peg.75	"pabA,Bsu0075,NP_387956.1,gi|16077143,GeneID:936441"	84287	84287	"Anthranilate synthase, amidotransferase component (EC 4.1.3.27)|Para-aminobenzoate synthase, amidotransferase component (EC 2.6.1.85)"	"Chorismate:_Intermediate_for_synthesis_of_PAPA_antibiotics,_PABA,_anthranilate,_3-hydroxyanthranilate_and_more.|Tryptophan_synthesis|Folate_Biosynthesis"	"Amino Acids and Derivatives|Cofactors, Vitamins, Prosthetic Groups, Pigments"	rxn00727|rxn01257|rxn00726
peg.76	"pabC,Bsu0076,NP_387957.1,gi|16077144,GeneID:936944"	84871	84871	Aminodeoxychorismate lyase (EC 4.1.3.38)	"Chorismate:_Intermediate_for_synthesis_of_PAPA_antibiotics,_PABA,_anthranilate,_3-hydroxyanthranilate_and_more.|Folate_Biosynthesis|Tryptophan_synthesis"	"Amino Acids and Derivatives|Cofactors, Vitamins, Prosthetic Groups, Pigments"	rxn03841
peg.77	"sul,Bsu0077,NP_387958.1,gi|16077145,GeneID:936256"	85734	85734	Dihydropteroate synthase (EC 2.5.1.15)	Folate_Biosynthesis|YgfZ	"Cofactors, Vitamins, Prosthetic Groups, Pigments"	rxn02201|rxn02200
peg.78	"folA,Bsu0078,NP_387959.1,gi|16077146,GeneID:937976"	86584	86584	Dihydroneopterin aldolase (EC 4.1.2.25)	Folate_Biosynthesis|Methanopterin_biosynthesis2|Pterin_metabolism_3	"Cofactors, Vitamins, Prosthetic Groups, Pigments"	rxn02504
peg.79	"folK,Bsu0079,NP_387960.1,gi|16077147,GeneID:936940"	86943	86943	2-amino-4-hydroxy-6-hydroxymethyldihydropteridine pyrophosphokinase (EC 2.7.6.3)	Folate_Biosynthesis|Methanopterin_biosynthesis2|Pterin_metabolism_3|YgfZ	"Cofactors, Vitamins, Prosthetic Groups, Pigments"	rxn02503
peg.80	"yazB,Bsu0080,NP_387961.1,gi|16077148,GeneID:936295"	87398	87398				
peg.81	"yacF,Bsu0081,NP_387962.1,gi|16077149,GeneID:936924"	87631	87631	tRNA dihydrouridine synthase B (EC 1.-.-.-)	tRNA_modification_Archaea|tRNA_modification_Bacteria	RNA Metabolism	
peg.82	"lysS,Bsu0082,NP_387963.1,gi|16077150,GeneID:936911"	88724	88724	Lysyl-tRNA synthetase (class II) (EC 6.1.1.6)	tRNA_aminoacylation	Protein Metabolism	rxn05296
peg.83	"ctsR,Bsu0083,NP_387964.1,gi|16077151,GeneID:936883"	101446	101446	transcriptional regulator CtsR			
peg.84	"yacH,Bsu0084,NP_387965.1,gi|16077152,GeneID:936845"	101924	101924	"Nucleotide excision repair protein, with UvrB/UvrC motif"	"Proteolysis_in_bacteria,_ATP-dependent"	Protein Metabolism	
peg.85	"yacI,Bsu0085,NP_387966.1,gi|16077153,GeneID:936939"	102481	102481	FIG007067: Putative ATP:guanido phosphotransferase yacI (EC 2.7.3.-)			
peg.86	"clpC,Bsu0086,NP_387967.1,gi|16077154,GeneID:938481"	103569	103569	"ATP-dependent Clp protease, ATP-binding subunit ClpC|Negative regulator of genetic competence clcC/mecB"	"Proteolysis_in_bacteria,_ATP-dependent"	Protein Metabolism	
peg.87	"sms,Bsu0087,NP_387968.1,gi|16077155,GeneID:936872"	106093	106093	DNA repair protein RadA	"DNA_repair,_bacterial"	DNA Metabolism	
peg.88	"yacK,Bsu0088,NP_387969.1,gi|16077156,GeneID:936868"	107473	107473	DNA integrity scanning protein disA			
peg.89	"yacL,Bsu0089,NP_387970.1,gi|16077157,GeneID:936863"	108671	108671	"Membrane-associated protein containing a homolog of PilT-like ATPase N-terminal domain, YACL B.subtilis ortholog"			
peg.90	"yacM,Bsu0090,NP_387971.1,gi|16077158,GeneID:936855"	109786	109786	2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase (EC 2.7.7.60)	Isoprenoid_Biosynthesis|Nonmevalonate_Branch_of_Isoprenoid_Biosynthesis|Teichoic_and_lipoteichoic_acids_biosynthesis|polyprenyl_synthesis	"Cofactors, Vitamins, Prosthetic Groups, Pigments|Cell Wall and Capsule"	rxn03907
peg.91	"yacN,Bsu0091,NP_387972.1,gi|16077159,GeneID:936634"	110477	110477	"2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase (EC 4.6.1.12)"	Isoprenoid_Biosynthesis|Nonmevalonate_Branch_of_Isoprenoid_Biosynthesis|polyprenyl_synthesis	"Cofactors, Vitamins, Prosthetic Groups, Pigments"	rxn03910
peg.92	"gltX,Bsu0092,NP_387973.1,gi|16077160,GeneID:936862"	111044	111044	Glutamyl-tRNA synthetase (EC 6.1.1.17)|Glutamyl-tRNA(Gln) synthetase	Glu-tRNA(Gln)_transamidation|Heme_and_Siroheme_Biosynthesis|tRNA_aminoacylation	"Protein Metabolism|Cofactors, Vitamins, Prosthetic Groups, Pigments"	rxn05296
peg.93	"cysE,Bsu0093,NP_387974.1,gi|16077161,GeneID:936831"	112797	112797	Serine acetyltransferase (EC 2.3.1.30)	Cysteine_Biosynthesis|Methionine_Biosynthesis|Superpathway_of_cysteine_biosynthesis|Vibrio_Polysaccharide_(VPS)_Biosynthesis	Amino Acids and Derivatives|Virulence	rxn00423
peg.94	"cysS,Bsu0094,NP_387975.1,gi|16077162,GeneID:936859"	113447	113447	Cysteinyl-tRNA synthetase (EC 6.1.1.16)	tRNA_aminoacylation	Protein Metabolism	rxn05296
peg.95	"yazC,Bsu0095,NP_387976.1,gi|16077163,GeneID:936369"	114851	114851	Small protein similar to cysteinyl-tRNA synthetase			
peg.96	"yacO,Bsu0096,NP_387977.1,gi|16077164,GeneID:936861"	115266	115266	TrmH family tRNA/rRNA methyltransferase YacO (EC 2.1.1.-)	rRNA_modification_Bacteria	RNA Metabolism	
peg.97	"yacP,Bsu0097,NP_387978.1,gi|16077165,GeneID:936993"	116022	116022				
peg.98	"sigH,Bsu0098,NP_387979.1,gi|16077166,GeneID:936150"	116597	116597	RNA polymerase sporulation specific sigma factor SigH	"Transcription_initiation,_bacterial_sigma_factors"	RNA Metabolism	
peg.99	"rpmG,Bsu0099,NP_387980.1,gi|16077167,GeneID:936842"	117346	117346	LSU ribosomal protein L33p	Ribosome_LSU_bacterial	Protein Metabolism	rxn05296
peg.100	"secE,Bsu0100,NP_387981.1,gi|16077168,GeneID:936856"	117529	117529	Preprotein translocase subunit SecE (TC 3.A.5.1.1)	General_secretory_pathway_(Sec-SRP)_complex_(TC_3.A.5.1.1)|HtrA_and_Sec_secretion	Protein Metabolism	
peg.101	"nusG,Bsu0101,NP_387982.1,gi|16077169,GeneID:936851"	117887	117887	Transcription antitermination protein NusG	Transcription_factors_bacterial	RNA Metabolism	
peg.102	"rplK,Bsu0102,NP_387983.1,gi|16077170,GeneID:936838"	118588	118588	LSU ribosomal protein L11p (L12e)	Ribosome_LSU_bacterial	Protein Metabolism	
peg.103	"rplA,Bsu0103,NP_387984.1,gi|16077171,GeneID:936843"	119107	119107	LSU ribosomal protein L1p (L10Ae)	Ribosome_LSU_bacterial	Protein Metabolism	rxn05296
peg.104	"rplJ,Bsu0104,NP_387985.1,gi|16077172,GeneID:936153"	120057	120057	LSU ribosomal protein L10p (P0)	Ribosome_LSU_bacterial	Protein Metabolism	rxn05296
peg.105	"rplL,Bsu0105,NP_387986.1,gi|16077173,GeneID:935952"	120604	120604	LSU ribosomal protein L7/L12 (L23e)	Ribosome_LSU_bacterial	Protein Metabolism	rxn05296
peg.106	"ybxB,Bsu0106,NP_387987.1,gi|16077174,GeneID:938465"	121065	121065	Ribosomal RNA small subunit methyltransferase C (EC 2.1.1.52)	rRNA_modification_Bacteria	RNA Metabolism	
peg.107	"rpoB,Bsu0107,NP_387988.1,gi|16077175,GeneID:936335"	121916	121916	DNA-directed RNA polymerase beta subunit (EC 2.7.7.6)	RNA_polymerase_bacterial	RNA Metabolism	rxn05295
peg.108	"rpoC,Bsu0108,NP_387989.1,gi|16077176,GeneID:935977"	125559	125559	DNA-directed RNA polymerase beta' subunit (EC 2.7.7.6)	RNA_polymerase_bacterial	RNA Metabolism	rxn05295
peg.109	"ybxF,Bsu0109,NP_387990.1,gi|16077177,GeneID:936829"	129339	129339	Firmicutes ribosomal L7Ae family protein	Ribosome_LSU_bacterial	Protein Metabolism	
peg.110	"rpsL,Bsu0110,NP_387991.1,gi|16077178,GeneID:936616"	129701	129701	SSU ribosomal protein S12p (S23e)	Ribosome_SSU_bacterial	Protein Metabolism	rxn05296
peg.111	"rpsG,Bsu0111,NP_387992.1,gi|16077179,GeneID:935997"	130159	130159	SSU ribosomal protein S7p (S5e)	Ribosome_SSU_bacterial	Protein Metabolism	rxn05296
peg.112	"fus,Bsu0112,NP_387993.1,gi|16077180,GeneID:936826"	130683	130683	Translation elongation factor G	"Tetracycline_resistance,_ribosome_protection_type|Translation_elongation_factor_G_family|Translation_factors_bacterial|Universal_GTPases"	Virulence|Protein Metabolism	
peg.113	"tufA,Bsu0113,NP_387994.1,gi|16077181,GeneID:935965"	132881	132881	Translation elongation factor Tu	Translation_factors_bacterial|Universal_GTPases	Protein Metabolism	
peg.114	"ybaC,Bsu0114,NP_387995.1,gi|16077182,GeneID:936866"	134170	134170				
peg.115	"rpsJ,Bsu0115,NP_387996.1,gi|16077183,GeneID:936825"	135362	135362	SSU ribosomal protein S10p (S20e)	Ribosome_SSU_bacterial	Protein Metabolism	rxn05296
peg.116	"rplC,Bsu0116,NP_387997.1,gi|16077184,GeneID:936239"	135710	135710	LSU ribosomal protein L3p (L3e)	Ribosome_LSU_bacterial	Protein Metabolism	rxn05296
peg.117	"rplD,Bsu0117,NP_387998.1,gi|16077185,GeneID:936690"	136367	136367	LSU ribosomal protein L4p (L1e)	Ribosome_LSU_bacterial	Protein Metabolism	rxn05296
peg.118	"rplW,Bsu0118,NP_387999.1,gi|16077186,GeneID:936820"	136990	136990	LSU ribosomal protein L23p (L23Ae)	Ribosome_LSU_bacterial	Protein Metabolism	rxn05296
peg.119	"rplB,Bsu0119,NP_388000.1,gi|16077187,GeneID:936817"	137309	137309	LSU ribosomal protein L2p (L8e)	Ribosome_LSU_bacterial	Protein Metabolism	rxn05296
peg.120	"rpsS,Bsu0120,NP_388001.1,gi|16077188,GeneID:936818"	138200	138200	SSU ribosomal protein S19p (S15e)	Ribosome_SSU_bacterial	Protein Metabolism	rxn05296
peg.121	"rplV,Bsu0121,NP_388002.1,gi|16077189,GeneID:938123"	138495	138495	LSU ribosomal protein L22p (L17e)	Ribosome_LSU_bacterial	Protein Metabolism	rxn05296
peg.122	"rpsC,Bsu0122,NP_388003.1,gi|16077190,GeneID:936808"	138840	138840	SSU ribosomal protein S3p (S3e)	Ribosome_SSU_bacterial	Protein Metabolism	rxn05296
peg.123	"rplP,Bsu0123,NP_388004.1,gi|16077191,GeneID:936807"	139498	139498	LSU ribosomal protein L16p (L10e)	Ribosome_LSU_bacterial	Protein Metabolism	rxn05296
peg.124	"rpmC,Bsu0124,NP_388005.1,gi|16077192,GeneID:936801"	139922	139922	LSU ribosomal protein L29p (L35e)	Ribosome_LSU_bacterial	Protein Metabolism	rxn05296
peg.125	"rpsQ,Bsu0125,NP_388006.1,gi|16077193,GeneID:936805"	140145	140145	SSU ribosomal protein S17p (S11e)	Ribosome_SSU_bacterial	Protein Metabolism	rxn05296
peg.126	"rplN,Bsu0126,NP_388007.1,gi|16077194,GeneID:935939"	140449	140449	LSU ribosomal protein L14p (L23e)	Ribosome_LSU_bacterial	Protein Metabolism	rxn05296
peg.127	"rplX,Bsu0127,NP_388008.1,gi|16077195,GeneID:936799"	140855	140855	LSU ribosomal protein L24p (L26e)	Ribosome_LSU_bacterial	Protein Metabolism	rxn05296
peg.128	"rplE,Bsu0128,NP_388009.1,gi|16077196,GeneID:936981"	141193	141193	LSU ribosomal protein L5p (L11e)	Ribosome_LSU_bacterial	Protein Metabolism	rxn05296
peg.129	"rpsN,Bsu0129,NP_388010.1,gi|16077197,GeneID:935946"	141755	141755	SSU ribosomal protein S14p (S29e)	Ribosome_SSU_bacterial	Protein Metabolism	rxn05296
peg.130	"rpsH,Bsu0130,NP_388011.1,gi|16077198,GeneID:936328"	141972	141972	SSU ribosomal protein S8p (S15Ae)	Ribosome_SSU_bacterial	Protein Metabolism	rxn05296
peg.131	"rplF,Bsu0131,NP_388012.1,gi|16077199,GeneID:938229"	142400	142400	LSU ribosomal protein L6p (L9e)	Ribosome_LSU_bacterial	Protein Metabolism	rxn05296
peg.132	"rplR,Bsu0132,NP_388013.1,gi|16077200,GeneID:936785"	142972	142972	LSU ribosomal protein L18p (L5e)	Ribosome_LSU_bacterial	Protein Metabolism	rxn05296
peg.133	"rpsE,Bsu0133,NP_388014.1,gi|16077201,GeneID:938012"	143359	143359	SSU ribosomal protein S5p (S2e)	Ribosome_SSU_bacterial	Protein Metabolism	rxn05296
peg.134	"rpmD,Bsu0134,NP_388015.1,gi|16077202,GeneID:936920"	143873	143873	LSU ribosomal protein L30p (L7e)	Ribosome_LSU_bacterial	Protein Metabolism	rxn05296
peg.135	"rplO,Bsu0135,NP_388016.1,gi|16077203,GeneID:935940"	144083	144083	LSU ribosomal protein L15p (L27Ae)	Ribosome_LSU_bacterial	Protein Metabolism	rxn05296
peg.136	"secY,Bsu0136,NP_388017.1,gi|16077204,GeneID:936779"	144525	144525	Preprotein translocase secY subunit (TC 3.A.5.1.1)	General_secretory_pathway_(Sec-SRP)_complex_(TC_3.A.5.1.1)|HtrA_and_Sec_secretion	Protein Metabolism	
