SUBSYSTEM ID	GENE ID	FUNCTIONAL ROLES	CLASS 1	CLASS 2	REACTIONS	
Sialic_Acid_Metabolism	peg.50|peg.177|peg.178|peg.190|peg.237|peg.770|peg.1202|peg.3507|peg.3508|peg.3572|peg.3790|peg.3792	"Glucosamine-1-phosphate N-acetyltransferase (EC 2.3.1.157)|N-acetylglucosamine-1-phosphate uridyltransferase (EC 2.7.7.23)|Phosphoglucosamine mutase (EC 5.4.2.10)|Glucosamine--fructose-6-phosphate aminotransferase [isomerizing] (EC 2.6.1.16)|Glucosamine-6-phosphate deaminase (EC 3.5.99.6)|PTS system, N-acetylglucosamine-specific IIB component (EC 2.7.1.69)|PTS system, N-acetylglucosamine-specific IIC component (EC 2.7.1.69)|PTS system, mannose-specific IIA component (EC 2.7.1.69)|PTS system, mannose-specific IIB component (EC 2.7.1.69)|PTS system, mannose-specific IIC component (EC 2.7.1.69)|N-acetylglucosamine-6-phosphate deacetylase (EC 3.5.1.25)|UDP-N-acetylglucosamine 2-epimerase (EC 5.1.3.14)|N-Acetylneuraminate cytidylyltransferase (EC 2.7.7.43)|N-acetylneuraminate synthase (EC 2.5.1.56)"	Cell Wall and Capsule	Capsular and extracellular polysacchrides	rxn03638|rxn00292|rxn00704|rxn01484|rxn00555|rxn00297|rxn00293|rxn05485|rxn01316|rxn05610|rxn01485|rxn00552|rxn00827	
Iojap	peg.50|peg.1314|peg.1315|peg.1558|peg.1657|peg.1737|peg.1851|peg.2248|peg.2565|peg.2567|peg.2795|peg.2797|peg.2799|peg.4029	N-acetylglucosamine-1-phosphate uridyltransferase (EC 2.7.7.23)|Glutamate 5-kinase (EC 2.7.2.11)|Gamma-glutamyl phosphate reductase (EC 1.2.1.41)|Orotate phosphoribosyltransferase (EC 2.4.2.10)|Phosphatidate cytidylyltransferase (EC 2.7.7.41)|tRNA delta(2)-isopentenylpyrophosphate transferase (EC 2.5.1.8)|Biotin-protein ligase (EC 6.3.4.15)|FIGfam135315: Iojap-related protein|Nicotinate-nucleotide adenylyltransferase (EC 2.7.7.18)|COG0536: GTP-binding protein Obg|LSU ribosomal protein L27p|LSU ribosomal protein L21p|LSU m3Psi1915 methyltransferase RlmH	Protein Metabolism	Protein biosynthesis	rxn03638|rxn00179|rxn10225|rxn08311|rxn08307|rxn05296|rxn00105|rxn10223|rxn02155|rxn10221|rxn00293|rxn08309|rxn01362|rxn10224|rxn06672|rxn02373|rxn10222|rxn10220	
De_Novo_Purine_Biosynthesis	peg.51|peg.224|peg.643|peg.644|peg.645|peg.646|peg.647|peg.648|peg.649|peg.650|peg.651|peg.652|peg.653|peg.654	"Ribose-phosphate pyrophosphokinase (EC 2.7.6.1)|Phosphoribosylglycinamide formyltransferase 2 (EC 2.1.2.-)|Phosphoribosylaminoimidazole carboxylase catalytic subunit (EC 4.1.1.21)|Phosphoribosylaminoimidazole carboxylase ATPase subunit (EC 4.1.1.21)|Adenylosuccinate lyase (EC 4.3.2.2)|Phosphoribosylaminoimidazole-succinocarboxamide synthase (EC 6.3.2.6)|Phosphoribosylformylglycinamidine synthase, PurS subunit (EC 6.3.5.3)|Phosphoribosylformylglycinamidine synthase, glutamine amidotransferase subunit (EC 6.3.5.3)|Phosphoribosylformylglycinamidine synthase, synthetase subunit (EC 6.3.5.3)|Amidophosphoribosyltransferase (EC 2.4.2.14)|Phosphoribosylformylglycinamidine cyclo-ligase (EC 6.3.3.1)|Phosphoribosylglycinamide formyltransferase (EC 2.1.2.2)|IMP cyclohydrolase (EC 3.5.4.10)|Phosphoribosylaminoimidazolecarboxamide formyltransferase (EC 2.1.2.3)|Phosphoribosylamine--glycine ligase (EC 6.3.4.13)"	Nucleosides and Nucleotides	Purines	rxn03084|rxn05229|rxn00800|rxn02937|rxn00790|rxn00770|rxn04783|rxn03137|rxn03004|rxn00832|rxn02895|rxn03136|rxn03147	
Pentose_phosphate_pathway	peg.51|peg.346|peg.347|peg.1303|peg.1581|peg.1793|peg.2390|peg.2391|peg.3699|peg.3718|peg.4014	"Ribose-phosphate pyrophosphokinase (EC 2.7.6.1)|6-phospho-3-hexuloisomerase|D-arabino-3-hexulose 6-phosphate formaldehyde lyase|6-phosphogluconolactonase (EC 3.1.1.31)|Ribulose-phosphate 3-epimerase (EC 5.1.3.1)|Transketolase (EC 2.2.1.1)|Glucose-6-phosphate 1-dehydrogenase (EC 1.1.1.49)|6-phosphogluconate dehydrogenase, decarboxylating (EC 1.1.1.44)|Ribose 5-phosphate isomerase B (EC 5.3.1.6)|Transaldolase (EC 2.2.1.2)"	Carbohydrates	Central carbohydrate metabolism	rxn00785|rxn01200|rxn00604|rxn00770|rxn03643|rxn01333|rxn01116|rxn00777|rxn01115|rxn03644|rxn01476	
YgfZ	peg.51|peg.77|peg.79|peg.267|peg.598|peg.650|peg.651|peg.984|peg.1101|peg.1315|peg.1374|peg.1395|peg.1551|peg.1552|peg.1555|peg.1556|peg.1558|peg.1704|peg.1804|peg.1848|peg.2275|peg.2330|peg.2357|peg.2461|peg.2754|peg.2788|peg.2790|peg.2846|peg.2962|peg.3023|peg.3239|peg.3274|peg.3276|peg.3399|peg.3492|peg.3677	"Ribose-phosphate pyrophosphokinase (EC 2.7.6.1)|Dihydropteroate synthase (EC 2.5.1.15)|2-amino-4-hydroxy-6-hydroxymethyldihydropteridine pyrophosphokinase (EC 2.7.6.3)|Cysteine desulfurase (EC 2.8.1.7)|Twin-arginine translocation protein TatA|Amidophosphoribosyltransferase (EC 2.4.2.14)|Phosphoribosylformylglycinamidine cyclo-ligase (EC 6.3.3.1)|Coproporphyrinogen III oxidase, oxygen-independent (EC 1.3.99.22)|5,10-methylenetetrahydrofolate reductase (EC 1.5.1.20)|Gamma-glutamyl phosphate reductase (EC 1.2.1.41)|Queuosine Biosynthesis QueC ATPase|Spore photoproduct lyase (EC 4.1.99.-)|Aspartate carbamoyltransferase (EC 2.1.3.2)|Dihydroorotase (EC 3.5.2.3)|Dihydroorotate dehydrogenase electron transfer subunit (EC 1.3.3.1)|Dihydroorotate dehydrogenase, catalytic subunit (EC 1.3.3.1)|Orotate phosphoribosyltransferase (EC 2.4.2.10)|tRNA-i(6)A37 methylthiotransferase|Aconitate hydratase (EC 4.2.1.3)|Glutamate synthase [NADPH] small chain (EC 1.4.1.13)|Chorismate synthase (EC 4.2.3.5)|GTP cyclohydrolase II (EC 3.5.4.25)|Ferric uptake regulation protein FUR|Aminomethyltransferase (glycine cleavage system T protein) (EC 2.1.2.10)|Quinolinate synthetase (EC 4.1.99.-)|L-aspartate oxidase (EC 1.4.3.16)|Succinate dehydrogenase iron-sulfur protein (EC 1.3.99.1)|Biotin synthase (EC 2.8.1.6)|Lipoate synthase|Iron-sulfur cluster assembly ATPase protein SufC|Phosphoglycerate kinase (EC 2.7.2.3)|Phosphoribosyl-AMP cyclohydrolase (EC 3.5.4.19)|Molybdenum cofactor biosynthesis protein A"	"Cofactors, Vitamins, Prosthetic Groups, Pigments"	Folate and pterines	rxn00973|rxn03061|rxn01465|rxn02201|rxn02988|rxn02937|rxn04454|rxn00300|rxn00790|rxn01018|rxn02834|rxn05040|rxn02503|rxn00770|rxn00910|rxn02200|rxn00974|rxn01388|rxn00085|rxn01362|rxn00908|rxn00338|rxn02835|rxn02373|rxn01100|rxn01255|rxn01360|rxn00288|rxn04712|rxn04704|rxn08180	
Ribosome_LSU_bacterial	peg.52|peg.99|peg.102|peg.103|peg.104|peg.105|peg.109|peg.116|peg.117|peg.118|peg.119|peg.121|peg.123|peg.124|peg.126|peg.127|peg.128|peg.131|peg.132|peg.134|peg.135|peg.140|peg.144|peg.149|peg.1510|peg.1584|peg.1606|peg.2494|peg.2797|peg.2799|peg.2888|peg.2889|peg.3073|peg.3714|peg.4056|peg.4112	LSU ribosomal protein L25p|LSU ribosomal protein L33p|LSU ribosomal protein L11p (L12e)|LSU ribosomal protein L1p (L10Ae)|LSU ribosomal protein L10p (P0)|LSU ribosomal protein L7/L12 (L23e)|Firmicutes ribosomal L7Ae family protein|LSU ribosomal protein L3p (L3e)|LSU ribosomal protein L4p (L1e)|LSU ribosomal protein L23p (L23Ae)|LSU ribosomal protein L2p (L8e)|LSU ribosomal protein L22p (L17e)|LSU ribosomal protein L16p (L10e)|LSU ribosomal protein L29p (L35e)|LSU ribosomal protein L14p (L23e)|LSU ribosomal protein L24p (L26e)|LSU ribosomal protein L5p (L11e)|LSU ribosomal protein L6p (L9e)|LSU ribosomal protein L18p (L5e)|LSU ribosomal protein L30p (L7e)|LSU ribosomal protein L15p (L27Ae)|LSU ribosomal protein L36p|LSU ribosomal protein L17p|LSU ribosomal protein L13p (L13Ae)|LSU ribosomal protein L32p|LSU ribosomal protein L28p|LSU ribosomal protein L19p|LSU ribosomal protein L27p|LSU ribosomal protein L21p|LSU ribosomal protein L20p|LSU ribosomal protein L35p|LSU ribosomal protein L31p|LSU ribosomal protein L9p|LSU ribosomal protein L34p	Protein Metabolism	Protein biosynthesis	rxn05296	
Translation_factors_bacterial	peg.53|peg.112|peg.113|peg.138|peg.139|peg.769|peg.1458|peg.1574|peg.1575|peg.1653|peg.1655|peg.1666|peg.1668|peg.2449|peg.2554|peg.2890|peg.3366|peg.3535|peg.3708	Peptidyl-tRNA hydrolase (EC 3.1.1.29)|Translation elongation factor G|Translation elongation factor Tu|Methionine aminopeptidase (EC 3.4.11.18)|Translation initiation factor 1|Peptide deformylase (EC 3.5.1.88)|Methionyl-tRNA formyltransferase (EC 2.1.2.9)|Translation elongation factor Ts|Ribosome recycling factor|Translation initiation factor 2|Ribosome-binding factor A|Translation elongation factor P|Translation elongation factor LepA|Translation initiation factor 3|tmRNA-binding protein SmpB|Peptide chain release factor 2|Peptide chain release factor 1	Protein Metabolism	Protein biosynthesis	rxn05296|rxn00375|rxn00376|rxn00455	
Transcription_factors_bacterial	peg.55|peg.101|peg.1662|peg.1663|peg.1664|peg.1665|peg.2436|peg.2735|peg.3715	Transcription-repair coupling factor|Transcription antitermination protein NusG|COG0779: clustered with transcription termination protein NusA|Transcription termination protein NusA|COG2740: Predicted nucleic-acid-binding protein implicated in transcription termination|ribosomal protein L7Ae family protein|Transcription termination protein NusB|Transcription elongation factor GreA|Transcription termination factor Rho	RNA Metabolism	Transcription	rxn05295	
Bacterial_Cell_Division	peg.62|peg.69|peg.1243|peg.1487|peg.1515|peg.1516|peg.1517|peg.1526|peg.1530|peg.1531|peg.1544|peg.1597|peg.1683|peg.2504|peg.2532|peg.2802|peg.2803|peg.2804|peg.2805|peg.2806|peg.2808|peg.2826|peg.2983|peg.3531|peg.3532	"Cell division protein DivIC|Cell division protein FtsH (EC 3.4.24.-)|Cell division protein FtsW|Cell division protein MraZ|S-adenosyl-methyltransferase MraW (EC 2.1.1.-)|Cell division protein FtsL|Cell division protein ftsQ|Cell division protein FtsA|Cell division protein FtsZ (EC 3.4.24.-)|Cell division initiation protein DivIVA|Signal recognition particle receptor protein FtsY (=alpha subunit) (TC 3.A.5.1.1)|Cell division protein FtsK|Cell division protein FtsI [Peptidoglycan synthetase] (EC 2.4.1.129)|GTP-binding protein Era|Septum site-determining protein MinD|Septum site-determining protein MinC|Rod shape-determining protein MreD|Rod shape-determining protein MreC|Rod shape-determining protein MreB|Septum formation protein Maf|Cell division trigger factor (EC 5.2.1.8)|Cell division protein FtsX|Cell division transporter, ATP-binding protein FtsE (TC 3.A.5.1.1)"	Cell Division and Cell Cycle	Cell cycle in Prokaryota	rxn10199	
Coenzyme_A_Biosynthesis	peg.70|peg.1446|peg.1504|peg.1513|peg.1572|peg.2245|peg.2246|peg.2247|peg.2381|peg.2832|peg.2909	"Pantothenate kinase type III, CoaX-like (EC 2.7.1.33)|2-dehydropantoate 2-reductase (EC 1.1.1.169)|Phosphopantetheine adenylyltransferase (EC 2.7.7.3)|Phosphopantothenoylcysteine decarboxylase (EC 4.1.1.36)|Phosphopantothenoylcysteine synthetase (EC 6.3.2.5)|Aspartate 1-decarboxylase (EC 4.1.1.11)|Pantoate--beta-alanine ligase (EC 6.3.2.1)|3-methyl-2-oxobutanoate hydroxymethyltransferase (EC 2.1.2.11)|Pantothenate kinase (EC 2.7.1.33)|Ketol-acid reductoisomerase (EC 1.1.1.86)|Dephospho-CoA kinase (EC 2.7.1.24)"	"Cofactors, Vitamins, Prosthetic Groups, Pigments"	Coenzyme A	rxn08764|rxn03436|rxn00912|rxn03068|rxn02186|rxn00100|rxn02341|rxn09177|rxn01791|rxn03435|rxn12510|rxn02175|rxn01790|rxn00346	
Streptococcus_pyogenes_recombinatorial_zone	peg.71	Chaperonin (heat shock protein 33)	Virulence	Adhesion		
Peptidyl-prolyl_cis-trans_isomerase	peg.72|peg.995	Foldase protein PrsA precursor (EC 5.2.1.8)	Protein Metabolism	Protein folding		
Cysteine_Biosynthesis	peg.73|peg.93|peg.158|peg.1091|peg.1093|peg.1559|peg.1562|peg.2728|peg.2729|peg.3000|peg.3349|peg.3350|peg.3472	Cysteine synthase (EC 2.5.1.47)|Serine acetyltransferase (EC 2.3.1.30)|Sulfate permease|Adenylylsulfate kinase (EC 2.7.1.25)|Phosphoadenylyl-sulfate reductase [thioredoxin] (EC 1.8.4.8)|Cystathionine gamma-lyase (EC 4.4.1.1)|Cystathionine beta-synthase (EC 4.2.1.22)|Sulfite reductase [NADPH] hemoprotein beta-component (EC 1.8.1.2)|Sulfite reductase [NADPH] flavoprotein alpha-component (EC 1.8.1.2)	Amino Acids and Derivatives	"Lysine, threonine, methionine, and cysteine"	rxn05239|rxn00423|rxn00742|rxn00649|rxn05733|rxn00953|rxn05651|rxn00361|rxn00623|rxn05256	
Methionine_Biosynthesis	peg.73|peg.93|peg.242|peg.911|peg.1101|peg.1188|peg.1189|peg.1320|peg.2197|peg.2728|peg.2729|peg.2730|peg.2731|peg.3000|peg.3045|peg.3058|peg.3070|peg.3230|peg.3232|peg.3278|peg.3279|peg.3280	"Cysteine synthase (EC 2.5.1.47)|Serine acetyltransferase (EC 2.3.1.30)|Homocysteine S-methyltransferase (EC 2.1.1.10)|Methionine ABC transporter substrate-binding protein|5,10-methylenetetrahydrofolate reductase (EC 1.5.1.20)|Cystathionine gamma-synthase (EC 2.5.1.48)|Cystathionine beta-lyase (EC 4.4.1.8)|5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase (EC 2.1.1.14)|Homoserine O-succinyltransferase (EC 2.3.1.46)|Cystathionine gamma-lyase (EC 4.4.1.1)|Cystathionine beta-synthase (EC 4.2.1.22)|S-adenosylhomocysteine nucleosidase (EC 3.2.2.9)|SAM-dependent methlytransferase YrrT|Methionine ABC transporter ATP-binding protein|S-adenosylmethionine synthetase (EC 2.5.1.6)|S-ribosylhomocysteine lyase (EC 4.4.1.21)|Homoserine kinase (EC 2.7.1.39)|Homoserine dehydrogenase (EC 1.1.1.3)|Methionine ABC transporter permease protein"	Amino Acids and Derivatives	"Lysine, threonine, methionine, and cysteine"	rxn01302|rxn00423|rxn00742|rxn00649|rxn01300|rxn00950|rxn00143|rxn05958|rxn00566|rxn05733|rxn01301|rxn00910|rxn00126|rxn05219|rxn00740|rxn00953|rxn00693|rxn01816|rxn00452|rxn01021|rxn05183|rxn01304	
"Chorismate:_Intermediate_for_synthesis_of_PAPA_antibiotics,_PABA,_anthranilate,_3-hydroxyanthranilate_and_more."	peg.74|peg.75|peg.76|peg.507|peg.2272|peg.3203|peg.3205	"Para-aminobenzoate synthase, aminase component (EC 2.6.1.85)|Anthranilate synthase, amidotransferase component (EC 4.1.3.27)|Para-aminobenzoate synthase, amidotransferase component (EC 2.6.1.85)|Aminodeoxychorismate lyase (EC 4.1.3.38)|Isochorismatase (EC 3.3.2.1)|Anthranilate synthase, aminase component (EC 4.1.3.27)|Isochorismatase (EC 3.3.2.1) of siderophore biosynthesis|Isochorismate synthase (EC 5.4.4.2) of siderophore biosynthesis"	Amino Acids and Derivatives	Aromatic amino acids and derivatives	rxn01258|rxn00727|rxn03841|rxn01257|rxn00726|rxn02177	
Folate_Biosynthesis	peg.74|peg.75|peg.76|peg.77|peg.78|peg.79|peg.145|peg.146|peg.147|peg.165|peg.335|peg.737|peg.1575|peg.1772|peg.2187|peg.2188|peg.2282|peg.2435|peg.2493|peg.2811|peg.3697|peg.3713|peg.3718	"Para-aminobenzoate synthase, aminase component (EC 2.6.1.85)|Para-aminobenzoate synthase, amidotransferase component (EC 2.6.1.85)|Aminodeoxychorismate lyase (EC 4.1.3.38)|Dihydropteroate synthase (EC 2.5.1.15)|Dihydroneopterin aldolase (EC 4.1.2.25)|2-amino-4-hydroxy-6-hydroxymethyldihydropteridine pyrophosphokinase (EC 2.7.6.3)|ATPase component of general energizing module of ECF transporters|Transmembrane component of general energizing module of ECF transporters|alternate gene name: yzbB|GTP cyclohydrolase I (EC 3.5.4.16) type 2|COG0488: ATPase components of ABC transporters with duplicated ATPase domains|Methionyl-tRNA formyltransferase (EC 2.1.2.9)|Thymidylate synthase (EC 2.1.1.45)|Dihydrofolate reductase (EC 1.5.1.3)|GTP cyclohydrolase I (EC 3.5.4.16) type 1|Methylenetetrahydrofolate dehydrogenase (NADP+) (EC 1.5.1.5)|5-formyltetrahydrofolate cyclo-ligase (EC 6.3.3.2)|Dihydrofolate synthase (EC 6.3.2.12)|Folylpolyglutamate synthase (EC 6.3.2.17)|Serine hydroxymethyltransferase (EC 2.1.2.1)|Thymidine kinase (EC 2.7.1.21)|Transaldolase (EC 2.2.1.2)"	"Cofactors, Vitamins, Prosthetic Groups, Pigments"	Folate and pterines	rxn01520|rxn02201|rxn00727|rxn05296|rxn03841|rxn02504|rxn00692|rxn00907|rxn01518|rxn00689|rxn02503|rxn00690|rxn00299|rxn01257|rxn01333|rxn02200|rxn01143|rxn01653|rxn00686|rxn00726|rxn01211|rxn01602|rxn01603|rxn01210	
Tryptophan_synthesis	peg.74|peg.75|peg.76|peg.2267|peg.2268|peg.2269|peg.2270|peg.2271|peg.2272|peg.3494	"Para-aminobenzoate synthase, aminase component (EC 2.6.1.85)|Anthranilate synthase, amidotransferase component (EC 4.1.3.27)|Para-aminobenzoate synthase, amidotransferase component (EC 2.6.1.85)|Aminodeoxychorismate lyase (EC 4.1.3.38)|Tryptophan synthase alpha chain (EC 4.2.1.20)|Tryptophan synthase beta chain (EC 4.2.1.20)|Phosphoribosylanthranilate isomerase (EC 5.3.1.24)|Indole-3-glycerol phosphate synthase (EC 4.1.1.48)|Anthranilate phosphoribosyltransferase (EC 2.4.2.18)|Anthranilate synthase, aminase component (EC 4.1.3.27)|Phosphoribosylformimino-5-aminoimidazole carboxamide ribotide isomerase (EC 5.3.1.16)"	Amino Acids and Derivatives	Aromatic amino acids and derivatives	rxn00727|rxn03841|rxn03175|rxn01682|rxn02508|rxn01257|rxn02507|rxn01964|rxn00474|rxn00791|rxn00726	
Methanopterin_biosynthesis2	peg.78|peg.79|peg.335|peg.1375|peg.2282	"Dihydroneopterin aldolase (EC 4.1.2.25)|2-amino-4-hydroxy-6-hydroxymethyldihydropteridine pyrophosphokinase (EC 2.7.6.3)|GTP cyclohydrolase I (EC 3.5.4.16) type 2|Queuosine biosynthesis QueD, PTPS-I|GTP cyclohydrolase I (EC 3.5.4.16) type 1"	"Cofactors, Vitamins, Prosthetic Groups, Pigments"	Folate and pterines	rxn02504|rxn02503|rxn00299	
Pterin_metabolism_3	peg.78|peg.79|peg.335|peg.763|peg.1075|peg.2282	Dihydroneopterin aldolase (EC 4.1.2.25)|2-amino-4-hydroxy-6-hydroxymethyldihydropteridine pyrophosphokinase (EC 2.7.6.3)|GTP cyclohydrolase I (EC 3.5.4.16) type 2|Nitric oxide synthase oxygenase (EC 1.-.-.-)|Fumarylacetoacetate hydrolase family protein|GTP cyclohydrolase I (EC 3.5.4.16) type 1	"Cofactors, Vitamins, Prosthetic Groups, Pigments"	Folate and pterines	rxn02504|rxn02503|rxn00299|rxn00399	
tRNA_modification_Archaea	peg.81|peg.148|peg.267|peg.1605|peg.1704|peg.2240|peg.2458|peg.2532|peg.2754|peg.2961|peg.2962|peg.3273|peg.3274|peg.3702	tRNA dihydrouridine synthase B (EC 1.-.-.-)|tRNA pseudouridine synthase A (EC 4.2.1.70)|Cysteine desulfurase (EC 2.8.1.7)|tRNA (Guanine37-N1) -methyltransferase (EC 2.1.1.31)|tRNA-i(6)A37 methylthiotransferase|Asparaginyl-tRNA synthetase (EC 6.1.1.22)|Rhodanese-like domain protein|GTP-binding protein Era|Thiamine biosynthesis protein thiI|Iron-sulfur cluster assembly scaffold protein IscU|Sua5 YciO YrdC YwlC family protein	RNA Metabolism	RNA processing and modification	rxn05296|rxn05295	
"Proteolysis_in_bacteria,_ATP-dependent"	peg.84|peg.86|peg.1617|peg.1618|peg.2823|peg.2825|peg.3460	"Nucleotide excision repair protein, with UvrB/UvrC motif|ATP-dependent Clp protease, ATP-binding subunit ClpC|ATP-dependent protease HslV (EC 3.4.25.-)|ATP-dependent hsl protease ATP-binding subunit HslU|ATP-dependent protease La (EC 3.4.21.53) Type I|ATP-dependent Clp protease ATP-binding subunit ClpX|ATP-dependent Clp protease proteolytic subunit (EC 3.4.21.92)"	Protein Metabolism	Protein degradation		
"DNA_repair,_bacterial"	peg.87|peg.182|peg.862|peg.991|peg.1064|peg.1065|peg.1356|peg.1697|peg.1789|peg.2376|peg.2392|peg.2428|peg.2433|peg.2434|peg.2517|peg.2630|peg.2807|peg.3624|peg.3638|peg.4094|peg.4096	DNA repair protein RadA|Methylated-DNA--protein-cysteine methyltransferase (EC 2.1.1.63)|A/G-specific adenine glycosylase (EC 3.2.2.-)|DNA repair exonuclease family protein YhaO|Exonuclease SbcD|Exonuclease SbcC|RecA protein|SOS-response repressor and protease LexA (EC 3.4.21.88)|DNA polymerase IV (EC 2.7.7.7)|DNA repair protein RecN|Exodeoxyribonuclease VII small subunit (EC 3.1.11.6)|Exodeoxyribonuclease VII large subunit (EC 3.1.11.6)|Endonuclease IV (EC 3.1.21.2)|Recombinational DNA repair protein RecT (prophage associated)|DNA repair protein RadC|Endonuclease V (EC 3.1.21.7)|Single-stranded DNA-binding protein|Exodeoxyribonuclease III (EC 3.1.11.2)	DNA Metabolism	DNA repair	rxn05294	
Teichoic_and_lipoteichoic_acids_biosynthesis	peg.90|peg.2198|peg.3008|peg.3118|peg.3559|peg.3574|peg.3575|peg.3577|peg.3578|peg.3579|peg.3580|peg.3581|peg.3582|peg.3583|peg.3584|peg.3855|peg.3856|peg.3857|peg.3858	"2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase (EC 2.7.7.60)|diglucosyldiacylglycerol synthase (LTA membrane anchor synthesis)|Membrane protein involved in the export of O-antigen, teichoic acid lipoteichoic acids|Undecaprenyl-diphosphatase (EC 3.6.1.27)|Undecaprenyl-phosphate N-acetylglucosaminyl 1-phosphate transferase (EC 2.7.8.-)|Minor teichoic acid biosynthesis protein GgaB|Minor teichoic acid biosynthesis protein GgaA|Teichoic acid export ATP-binding protein TagH (EC 3.6.3.40)|Teichoic acid translocation permease protein TagG|CDP-glycerol:poly(glycerophosphate) glycerophosphotransferase (EC 2.7.8.12)|Poly(glycerol-phosphate) alpha-glucosyltransferase (EC 2.4.1.52)|Glycerol-3-phosphate cytidylyltransferase (EC 2.7.7.39)|N-acetylmannosaminyltransferase (EC 2.4.1.187)|CDP-glycerol: N-acetyl-beta-D-mannosaminyl-1,4-N-acetyl-D-glucosaminyldiphosphoundecaprenyl glycerophosphotransferase|Putative major teichoic acid biosynthesis protein C|D-alanine--poly(phosphoribitol) ligase subunit 1 (EC 6.1.1.13)|D-alanyl transfer protein DltB|D-alanine--poly(phosphoribitol) ligase subunit 2 (EC 6.1.1.13)|Poly(glycerophosphate chain) D-alanine transfer protein DltD"	Cell Wall and Capsule	Gram-Positive cell wall components	rxn10195|rxn10295|rxn10304|rxn03852|rxn10279|rxn10277|rxn10272|rxn10193|rxn10299|rxn00621|rxn10293|rxn10197|rxn10297|rxn10292|rxn10300|rxn10278|rxn10275|rxn10307|rxn10308|rxn10302|rxn10311|rxn10296|rxn10312|rxn10290|rxn10273|rxn10305|rxn03901|rxn10310|rxn10194|rxn10291|rxn10294|rxn10192|rxn10314|rxn10271|rxn10276|rxn10315|rxn10309|rxn10191|rxn08040|rxn10298|rxn10289|rxn10301|rxn10196|rxn10274|rxn10306|rxn10313|rxn10303|rxn03907	
Glu-tRNA(Gln)_transamidation	peg.92|peg.668|peg.669|peg.670|peg.2240	Glutamyl-tRNA synthetase (EC 6.1.1.17)|Glutamyl-tRNA(Gln) synthetase|Glutamyl-tRNA(Gln) amidotransferase subunit C (EC 6.3.5.-)|Glutamyl-tRNA(Gln) amidotransferase subunit A (EC 6.3.5.-)|Glutamyl-tRNA(Gln) amidotransferase subunit B (EC 6.3.5.-)|Asparaginyl-tRNA synthetase (EC 6.1.1.22)	Protein Metabolism	Protein biosynthesis	rxn05296	
Heme_and_Siroheme_Biosynthesis	peg.92|peg.329|peg.870|peg.984|peg.1012|peg.1013|peg.1014|peg.1563|peg.1564|peg.1565|peg.2552|peg.2553|peg.2554|peg.2815|peg.2816|peg.2817|peg.2818|peg.2819|peg.2820|peg.2839	"Glutamyl-tRNA synthetase (EC 6.1.1.17)|Uroporphyrinogen-III methyltransferase (EC 2.1.1.107)|Uroporphyrinogen-III synthase (EC 4.2.1.75)|Glutamate-1-semialdehyde aminotransferase (EC 5.4.3.8)|Coproporphyrinogen III oxidase, oxygen-independent (EC 1.3.99.22)|Uroporphyrinogen III decarboxylase (EC 4.1.1.37)|Ferrochelatase, protoheme ferro-lyase (EC 4.99.1.1)|Protoporphyrinogen IX oxidase, aerobic (EC 1.3.3.4)|Sirohydrochlorin ferrochelatase (EC 4.99.1.4)|Precorrin-2 oxidase (EC 1.3.1.76)|Heat-inducible transcription repressor HrcA|Putative coproporphyrinogen III oxidase of BS HemN-type, oxygen-independent (EC 1.3.99.22), in heat shock gene cluster|Translation elongation factor LepA|Porphobilinogen synthase (EC 4.2.1.24)|Porphobilinogen deaminase (EC 2.5.1.61)|HemX protein, negative effector of steady-state concentration of glutamyl-tRNA reductase|Glutamyl-tRNA reductase (EC 1.2.1.70)|Nucleoside 5-triphosphatase RdgB (dHAPTP, dITP, XTP-specific) (EC 3.6.1.15)"	"Cofactors, Vitamins, Prosthetic Groups, Pigments"	Tetrapyrroles	rxn09012|rxn02056|rxn05296|rxn02288|rxn00060|rxn02287|rxn06591|rxn00224|rxn02304|rxn00513|rxn00029|rxn02264|rxn09011|rxn02774|rxn04704|rxn01629	
Superpathway_of_cysteine_biosynthesis	peg.93|peg.158|peg.1091|peg.1093|peg.1559|peg.1562|peg.3349|peg.3350|peg.3472	Serine acetyltransferase (EC 2.3.1.30)|Sulfate permease|Adenylylsulfate kinase (EC 2.7.1.25)|Phosphoadenylyl-sulfate reductase [thioredoxin] (EC 1.8.4.8)|Sulfite reductase [NADPH] hemoprotein beta-component (EC 1.8.1.2)|Sulfite reductase [NADPH] flavoprotein alpha-component (EC 1.8.1.2)	Amino Acids and Derivatives	"Lysine, threonine, methionine, and cysteine"	rxn05239|rxn00423|rxn05651|rxn00361|rxn00623|rxn05256	
Vibrio_Polysaccharide_(VPS)_Biosynthesis	peg.93|peg.788|peg.3572|peg.3582|peg.3700	Serine acetyltransferase (EC 2.3.1.30)|Low molecular weight protein tyrosine phosphatase (EC 3.1.3.48)|UDP-N-acetylglucosamine 2-epimerase (EC 5.1.3.14)|N-acetylmannosaminyltransferase (EC 2.4.1.187)	Virulence	Regulation of virulence	rxn00292|rxn03852|rxn00423|rxn00297	
