FUNCTIONAL ROLE	GENE ID	SUBSYSTEMS	SUBSYSTEM CLASS	REACTIONS
"Spore cortex-lytic enzyme, N-acetylglucosaminidase SleL (EC 3.2.1.-)"	peg.16			
Nicotinamidase (EC 3.5.1.19)	peg.17|peg.3179	NAD_and_NADP_cofactor_biosynthesis_global|NAD_regulation|Redox-dependent_regulation_of_nucleus_processes	"Cofactors, Vitamins, Prosthetic Groups, Pigments|Stress Response"	rxn00938
tRNA-specific adenosine-34 deaminase (EC 3.5.4.-)	peg.18	tRNA_modification_Bacteria|tRNA_processing	RNA Metabolism	
DNA polymerase III subunits gamma and Tau (EC 2.7.7.7)	peg.19	DNA-replication	DNA Metabolism	rxn05294
Transcriptional regulatory protein	peg.20|peg.3248			
Recombination protein RecR	peg.21	"DNA-replication|DNA_repair,_bacterial_RecFOR_pathway"	DNA Metabolism	
inhibitor of the pro-sigma-K processing machinery	peg.23			
alternate gene name: yaaM sigma-F transcribed gene	peg.24			
hydrolysis of 5-bromo 4-chloroindolyl phosphate (X-phos)	peg.25|peg.1282			
Tellurite resistance protein	peg.26			
Arginine decarboxylase (EC 4.1.1.19)	peg.27|peg.1465	Arginine_and_Ornithine_Degradation|Polyamine_Metabolism	Amino Acids and Derivatives	rxn00322|rxn00405
Lysine decarboxylase (EC 4.1.1.18)	peg.27	Lysine_degradation	Amino Acids and Derivatives	rxn00322|rxn00405
Thymidylate kinase (EC 2.7.4.9)	peg.28	pyrimidine_conversions	Nucleosides and Nucleotides	rxn01513|rxn01517
"protein from nitrogen regulatory protein P-II (GLNB) family, ortholog YAAQ B. subtilis"	peg.29			
DUF327 domain-containing protein	peg.30			
DNA polymerase III delta prime subunit (EC 2.7.7.7)	peg.31	DNA-replication	DNA Metabolism	rxn05294
Signal peptidase-like protein	peg.32			
Stage 0 sporulation protein YaaT	peg.32			
DNA replication intiation control protein YabA	peg.33			
COG4123: Predicted O-methyltransferase	peg.34	rRNA_modification_Bacteria|tRNA_modification_Bacteria	RNA Metabolism	
COG2827: putative endonuclease containing a URI domain	peg.35			
Tetrapyrrole (Corrin-Porphyrin) methylase family protein UPF0011	peg.36			
Transition state regulatory protein AbrB	peg.37	Poly-gamma-glutamate_biosynthesis	Amino Acids and Derivatives	
Methionyl-tRNA synthetase (EC 6.1.1.10)	peg.38	tRNA_aminoacylation	Protein Metabolism	rxn05296
Putative deoxyribonuclease YcfH	peg.39			
Cell wall-binding protein	peg.40|peg.1925|peg.3213			
Ribonuclease M5 (EC 3.1.26.8)	peg.41	Ribosome_biogenesis_bacterial	Protein Metabolism	
Dimethyladenosine transferase (EC 2.1.1.-)	peg.42	Ribosome_biogenesis_bacterial|rRNA_modification_Bacteria	Protein Metabolism|RNA Metabolism	
Veg protein	peg.44			
small acid-soluble spore protein (alpha/beta-type SASP)	peg.45			
4-diphosphocytidyl-2-C-methyl-D-erythritol kinase (EC 2.7.1.148)	peg.46	Isoprenoid_Biosynthesis|Nonmevalonate_Branch_of_Isoprenoid_Biosynthesis|polyprenyl_synthesis	"Cofactors, Vitamins, Prosthetic Groups, Pigments"	rxn03908
negative regulation of the purine operon (purEKBCLQFMNHD)	peg.47			
UPF0076 protein yabJ	peg.48			
Glucosamine-1-phosphate N-acetyltransferase (EC 2.3.1.157)	peg.50	Sialic_Acid_Metabolism	Cell Wall and Capsule	rxn03638|rxn00293
N-acetylglucosamine-1-phosphate uridyltransferase (EC 2.7.7.23)	peg.50	Iojap|Sialic_Acid_Metabolism	Protein Metabolism|Cell Wall and Capsule	rxn03638|rxn00293
Ribose-phosphate pyrophosphokinase (EC 2.7.6.1)	peg.51	De_Novo_Purine_Biosynthesis|Pentose_phosphate_pathway|YgfZ	"Nucleosides and Nucleotides|Carbohydrates|Cofactors, Vitamins, Prosthetic Groups, Pigments"	rxn00770
LSU ribosomal protein L25p	peg.52	Ribosome_LSU_bacterial	Protein Metabolism	
Peptidyl-tRNA hydrolase (EC 3.1.1.29)	peg.53	Translation_factors_bacterial	Protein Metabolism	
Transcription-repair coupling factor	peg.55	DNA-replication|Transcription_factors_bacterial	DNA Metabolism|RNA Metabolism	
"Stage V sporulation protein T, AbrB family transcriptional regulator (SpoVT)"	peg.56			
Low temperature requirement B protein	peg.57			
tetrapyrrole methylase family protein/MazG family protein	peg.58			
Heat shock protein 15	peg.59			
Ribosome-associated heat shock protein	peg.59			
YabP protein	peg.60			
Spore cortex biosynthesis protein	peg.61			
Cell division protein DivIC	peg.62	Bacterial_Cell_Division	Cell Division and Cell Cycle	
"RNA binding protein, contains ribosomal protein S1 domain"	peg.63			
Stage II sporulation serine phosphatase for sigma-F activation (SpoIIE)	peg.64			
Probable serine/threonine-protein kinase yabT (EC 2.7.11.1)	peg.66			
tRNA(Ile)-lysidine synthetase	peg.67	tRNA_modification_Bacteria|tRNA_processing	RNA Metabolism	rxn05296
Hypoxanthine-guanine phosphoribosyltransferase (EC 2.4.2.8)	peg.68	Purine_conversions	Nucleosides and Nucleotides	rxn00915|rxn00836|rxn01544
Cell division protein FtsH (EC 3.4.24.-)	peg.69|peg.1243	Bacterial_Cell_Division	Cell Division and Cell Cycle	
"Pantothenate kinase type III, CoaX-like (EC 2.7.1.33)"	peg.70	Coenzyme_A_Biosynthesis	"Cofactors, Vitamins, Prosthetic Groups, Pigments"	rxn12510
Chaperonin (heat shock protein 33)	peg.71	Streptococcus_pyogenes_recombinatorial_zone	Virulence	
Foldase protein PrsA precursor (EC 5.2.1.8)	peg.72|peg.995	Peptidyl-prolyl_cis-trans_isomerase	Protein Metabolism	
Cysteine synthase (EC 2.5.1.47)	peg.73|peg.3000	Cysteine_Biosynthesis|Methionine_Biosynthesis	Amino Acids and Derivatives	rxn00649|rxn05733
"Para-aminobenzoate synthase, aminase component (EC 2.6.1.85)"	peg.74	"Chorismate:_Intermediate_for_synthesis_of_PAPA_antibiotics,_PABA,_anthranilate,_3-hydroxyanthranilate_and_more.|Folate_Biosynthesis|Tryptophan_synthesis"	"Amino Acids and Derivatives|Cofactors, Vitamins, Prosthetic Groups, Pigments"	rxn01257
"Anthranilate synthase, amidotransferase component (EC 4.1.3.27)"	peg.75	"Chorismate:_Intermediate_for_synthesis_of_PAPA_antibiotics,_PABA,_anthranilate,_3-hydroxyanthranilate_and_more.|Tryptophan_synthesis"	Amino Acids and Derivatives	rxn00727|rxn01257|rxn00726
"Para-aminobenzoate synthase, amidotransferase component (EC 2.6.1.85)"	peg.75	"Chorismate:_Intermediate_for_synthesis_of_PAPA_antibiotics,_PABA,_anthranilate,_3-hydroxyanthranilate_and_more.|Folate_Biosynthesis|Tryptophan_synthesis"	"Amino Acids and Derivatives|Cofactors, Vitamins, Prosthetic Groups, Pigments"	rxn00727|rxn01257|rxn00726
Aminodeoxychorismate lyase (EC 4.1.3.38)	peg.76	"Chorismate:_Intermediate_for_synthesis_of_PAPA_antibiotics,_PABA,_anthranilate,_3-hydroxyanthranilate_and_more.|Folate_Biosynthesis|Tryptophan_synthesis"	"Amino Acids and Derivatives|Cofactors, Vitamins, Prosthetic Groups, Pigments"	rxn03841
Dihydropteroate synthase (EC 2.5.1.15)	peg.77	Folate_Biosynthesis|YgfZ	"Cofactors, Vitamins, Prosthetic Groups, Pigments"	rxn02201|rxn02200
Dihydroneopterin aldolase (EC 4.1.2.25)	peg.78	Folate_Biosynthesis|Methanopterin_biosynthesis2|Pterin_metabolism_3	"Cofactors, Vitamins, Prosthetic Groups, Pigments"	rxn02504
2-amino-4-hydroxy-6-hydroxymethyldihydropteridine pyrophosphokinase (EC 2.7.6.3)	peg.79	Folate_Biosynthesis|Methanopterin_biosynthesis2|Pterin_metabolism_3|YgfZ	"Cofactors, Vitamins, Prosthetic Groups, Pigments"	rxn02503
tRNA dihydrouridine synthase B (EC 1.-.-.-)	peg.81	tRNA_modification_Archaea|tRNA_modification_Bacteria	RNA Metabolism	
Lysyl-tRNA synthetase (class II) (EC 6.1.1.6)	peg.82	tRNA_aminoacylation	Protein Metabolism	rxn05296
transcriptional regulator CtsR	peg.83			
"Nucleotide excision repair protein, with UvrB/UvrC motif"	peg.84	"Proteolysis_in_bacteria,_ATP-dependent"	Protein Metabolism	
FIG007067: Putative ATP:guanido phosphotransferase yacI (EC 2.7.3.-)	peg.85			
"ATP-dependent Clp protease, ATP-binding subunit ClpC"	peg.86	"Proteolysis_in_bacteria,_ATP-dependent"	Protein Metabolism	
Negative regulator of genetic competence clcC/mecB	peg.86			
DNA repair protein RadA	peg.87	"DNA_repair,_bacterial"	DNA Metabolism	
DNA integrity scanning protein disA	peg.88			
"Membrane-associated protein containing a homolog of PilT-like ATPase N-terminal domain, YACL B.subtilis ortholog"	peg.89			
2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase (EC 2.7.7.60)	peg.90	Isoprenoid_Biosynthesis|Nonmevalonate_Branch_of_Isoprenoid_Biosynthesis|Teichoic_and_lipoteichoic_acids_biosynthesis|polyprenyl_synthesis	"Cofactors, Vitamins, Prosthetic Groups, Pigments|Cell Wall and Capsule"	rxn03907
"2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase (EC 4.6.1.12)"	peg.91	Isoprenoid_Biosynthesis|Nonmevalonate_Branch_of_Isoprenoid_Biosynthesis|polyprenyl_synthesis	"Cofactors, Vitamins, Prosthetic Groups, Pigments"	rxn03910
Glutamyl-tRNA synthetase (EC 6.1.1.17)	peg.92	Glu-tRNA(Gln)_transamidation|Heme_and_Siroheme_Biosynthesis|tRNA_aminoacylation	"Protein Metabolism|Cofactors, Vitamins, Prosthetic Groups, Pigments"	rxn05296
Glutamyl-tRNA(Gln) synthetase	peg.92	Glu-tRNA(Gln)_transamidation	Protein Metabolism	rxn05296
Serine acetyltransferase (EC 2.3.1.30)	peg.93	Cysteine_Biosynthesis|Methionine_Biosynthesis|Superpathway_of_cysteine_biosynthesis|Vibrio_Polysaccharide_(VPS)_Biosynthesis	Amino Acids and Derivatives|Virulence	rxn00423
Cysteinyl-tRNA synthetase (EC 6.1.1.16)	peg.94	tRNA_aminoacylation	Protein Metabolism	rxn05296
Small protein similar to cysteinyl-tRNA synthetase	peg.95			
TrmH family tRNA/rRNA methyltransferase YacO (EC 2.1.1.-)	peg.96	rRNA_modification_Bacteria	RNA Metabolism	
RNA polymerase sporulation specific sigma factor SigH	peg.98	"Transcription_initiation,_bacterial_sigma_factors"	RNA Metabolism	
LSU ribosomal protein L33p	peg.99|peg.2494	Ribosome_LSU_bacterial	Protein Metabolism	rxn05296
Preprotein translocase subunit SecE (TC 3.A.5.1.1)	peg.100	General_secretory_pathway_(Sec-SRP)_complex_(TC_3.A.5.1.1)|HtrA_and_Sec_secretion	Protein Metabolism	
Transcription antitermination protein NusG	peg.101	Transcription_factors_bacterial	RNA Metabolism	
LSU ribosomal protein L11p (L12e)	peg.102	Ribosome_LSU_bacterial	Protein Metabolism	
LSU ribosomal protein L1p (L10Ae)	peg.103	Ribosome_LSU_bacterial	Protein Metabolism	rxn05296
LSU ribosomal protein L10p (P0)	peg.104	Ribosome_LSU_bacterial	Protein Metabolism	rxn05296
LSU ribosomal protein L7/L12 (L23e)	peg.105	Ribosome_LSU_bacterial	Protein Metabolism	rxn05296
Ribosomal RNA small subunit methyltransferase C (EC 2.1.1.52)	peg.106	rRNA_modification_Bacteria	RNA Metabolism	
DNA-directed RNA polymerase beta subunit (EC 2.7.7.6)	peg.107	RNA_polymerase_bacterial	RNA Metabolism	rxn05295
DNA-directed RNA polymerase beta' subunit (EC 2.7.7.6)	peg.108	RNA_polymerase_bacterial	RNA Metabolism	rxn05295
Firmicutes ribosomal L7Ae family protein	peg.109	Ribosome_LSU_bacterial	Protein Metabolism	
SSU ribosomal protein S12p (S23e)	peg.110	Ribosome_SSU_bacterial	Protein Metabolism	rxn05296
SSU ribosomal protein S7p (S5e)	peg.111	Ribosome_SSU_bacterial	Protein Metabolism	rxn05296
Translation elongation factor G	peg.112	"Tetracycline_resistance,_ribosome_protection_type|Translation_elongation_factor_G_family|Translation_factors_bacterial|Universal_GTPases"	Virulence|Protein Metabolism	
Translation elongation factor Tu	peg.113	Translation_factors_bacterial|Universal_GTPases	Protein Metabolism	
SSU ribosomal protein S10p (S20e)	peg.115	Ribosome_SSU_bacterial	Protein Metabolism	rxn05296
LSU ribosomal protein L3p (L3e)	peg.116	Ribosome_LSU_bacterial	Protein Metabolism	rxn05296
LSU ribosomal protein L4p (L1e)	peg.117	Ribosome_LSU_bacterial	Protein Metabolism	rxn05296
LSU ribosomal protein L23p (L23Ae)	peg.118	Ribosome_LSU_bacterial	Protein Metabolism	rxn05296
LSU ribosomal protein L2p (L8e)	peg.119	Ribosome_LSU_bacterial	Protein Metabolism	rxn05296
SSU ribosomal protein S19p (S15e)	peg.120	Ribosome_SSU_bacterial	Protein Metabolism	rxn05296
LSU ribosomal protein L22p (L17e)	peg.121	Ribosome_LSU_bacterial	Protein Metabolism	rxn05296
SSU ribosomal protein S3p (S3e)	peg.122	Ribosome_SSU_bacterial	Protein Metabolism	rxn05296
LSU ribosomal protein L16p (L10e)	peg.123	Ribosome_LSU_bacterial	Protein Metabolism	rxn05296
LSU ribosomal protein L29p (L35e)	peg.124	Ribosome_LSU_bacterial	Protein Metabolism	rxn05296
SSU ribosomal protein S17p (S11e)	peg.125	Ribosome_SSU_bacterial	Protein Metabolism	rxn05296
LSU ribosomal protein L14p (L23e)	peg.126	Ribosome_LSU_bacterial	Protein Metabolism	rxn05296
LSU ribosomal protein L24p (L26e)	peg.127	Ribosome_LSU_bacterial	Protein Metabolism	rxn05296
LSU ribosomal protein L5p (L11e)	peg.128	Ribosome_LSU_bacterial	Protein Metabolism	rxn05296
SSU ribosomal protein S14p (S29e)	peg.129|peg.887	Ribosome_SSU_bacterial	Protein Metabolism	rxn05296
SSU ribosomal protein S8p (S15Ae)	peg.130	Ribosome_SSU_bacterial	Protein Metabolism	rxn05296
LSU ribosomal protein L6p (L9e)	peg.131	Ribosome_LSU_bacterial	Protein Metabolism	rxn05296
LSU ribosomal protein L18p (L5e)	peg.132	Ribosome_LSU_bacterial	Protein Metabolism	rxn05296
SSU ribosomal protein S5p (S2e)	peg.133	Ribosome_SSU_bacterial	Protein Metabolism	rxn05296
LSU ribosomal protein L30p (L7e)	peg.134	Ribosome_LSU_bacterial	Protein Metabolism	rxn05296
LSU ribosomal protein L15p (L27Ae)	peg.135	Ribosome_LSU_bacterial	Protein Metabolism	rxn05296
Preprotein translocase secY subunit (TC 3.A.5.1.1)	peg.136	General_secretory_pathway_(Sec-SRP)_complex_(TC_3.A.5.1.1)|HtrA_and_Sec_secretion	Protein Metabolism	
Adenylate kinase (EC 2.7.4.3)	peg.137	Purine_conversions	Nucleosides and Nucleotides	rxn00097|rxn01127
Methionine aminopeptidase (EC 3.4.11.18)	peg.138|peg.769	Translation_factors_bacterial	Protein Metabolism	
Translation initiation factor 1	peg.139	Translation_factors_bacterial	Protein Metabolism	
LSU ribosomal protein L36p	peg.140	Ribosome_LSU_bacterial	Protein Metabolism	rxn05296
SSU ribosomal protein S13p (S18e)	peg.141	Ribosome_SSU_bacterial	Protein Metabolism	rxn05296
SSU ribosomal protein S11p (S14e)	peg.142	Ribosome_SSU_bacterial	Protein Metabolism	rxn05296
DNA-directed RNA polymerase alpha subunit (EC 2.7.7.6)	peg.143	RNA_polymerase_bacterial	RNA Metabolism	rxn05295
LSU ribosomal protein L17p	peg.144	Ribosome_LSU_bacterial	Protein Metabolism	rxn05296
ATPase component of general energizing module of ECF transporters	peg.145|peg.146	Folate_Biosynthesis	"Cofactors, Vitamins, Prosthetic Groups, Pigments"	
Transmembrane component of general energizing module of ECF transporters	peg.147	Folate_Biosynthesis	"Cofactors, Vitamins, Prosthetic Groups, Pigments"	
tRNA pseudouridine synthase A (EC 4.2.1.70)	peg.148	tRNA_modification_Archaea|tRNA_modification_Archaea_Henri|tRNA_modification_Bacteria|tRNA_modification_yeast_cytoplasmic|tRNA_modification_yeast_mitochondrial|tRNA_processing	RNA Metabolism	
LSU ribosomal protein L13p (L13Ae)	peg.149	Ribosome_LSU_bacterial	Protein Metabolism	rxn05296
SSU ribosomal protein S9p (S16e)	peg.150	Ribosome_SSU_bacterial	Protein Metabolism	rxn05296
alternate gene name: ybxH	peg.152			
"Germination-specific N-acetylmuramoyl-L-alanine amidase (EC 3.5.1.28), cell wall hydrolase CwlD"	peg.153			rxn02875
Iron-sulfur cluster assembly/repair protein ApbC	peg.154			
Spore germination protein GerD	peg.155			
KinB signaling pathway activation protein	peg.156			
"polysaccharide deacetylase, putative"	peg.157|peg.798			
Sulfate permease	peg.158|peg.3472	Cysteine_Biosynthesis|Superpathway_of_cysteine_biosynthesis	Amino Acids and Derivatives	rxn05651
Bile acid sodium symporter	peg.159			
ABC transporter ATP-binding protein ybbA	peg.160			
component of iron-uptake system	peg.161|peg.162|peg.163			rxn05555|rxn05195
"transcriptional regulator, AraC family"	peg.164			
alternate gene name: yzbB	peg.165	Folate_Biosynthesis	"Cofactors, Vitamins, Prosthetic Groups, Pigments"	
Beta-hexosaminidase (EC 3.2.1.52)	peg.166	(GlcNAc)2_Catabolic_Operon|Chitin_and_N-acetylglucosamine_utilization	Carbohydrates	rxn00016
beta-lactamase	peg.167			rxn07099
"PTS system, glucose-specific IIBC component (EC 2.7.1.69)"	peg.168|peg.4018	Sucrose_Metabolism	Carbohydrates	rxn05226
"Transcriptional regulator, RpiR family"	peg.169|peg.819			
N-acetylmuramic acid 6-phosphate etherase (EC 4.2.-.-)	peg.170			
RNA polymerase sigma factor SigW	peg.173	"Transcription_initiation,_bacterial_sigma_factors"	RNA Metabolism	
"ABC transporter, permease protein YbbP clustered with maltose/maltodextrin transporter"	peg.175|peg.1948	Maltose_and_Maltodextrin_Utilization	Carbohydrates	
Tlr1762 protein	peg.175|peg.1948			
"uncharacterized secreted protein, YBBR Bacillus subtilis homolog"	peg.176			
Phosphoglucosamine mutase (EC 5.4.2.10)	peg.177	Sialic_Acid_Metabolism	Cell Wall and Capsule	rxn00704|rxn01485
Glucosamine--fructose-6-phosphate aminotransferase [isomerizing] (EC 2.6.1.16)	peg.178|peg.190	Formaldehyde_assimilation:_Ribulose_monophosphate_pathway|Sialic_Acid_Metabolism	Carbohydrates|Cell Wall and Capsule	rxn00555
DNA-3-methyladenine glycosylase II (EC 3.2.2.21)	peg.180|peg.801	DNA_Repair_Base_Excision	DNA Metabolism	
adaptative response to DNA alkylation	peg.181			
positive regulation of the adaAB operon	peg.181			
Methylated-DNA--protein-cysteine methyltransferase (EC 2.1.1.63)	peg.182|peg.1356	"DNA_repair,_bacterial"	DNA Metabolism	
"NADH dehydrogenase, subunit 5"	peg.183	Respiratory_Complex_I	Respiration	
Hypothetical transmembrane protein coupled to NADH-ubiquinone oxidoreductase chain 5 homolog	peg.184|peg.185	"CO2_uptake,_carboxysome|Respiratory_Complex_I"	Carbohydrates|Respiration	
Chloramphenicol resistance protein	peg.189			
Sporulation killing factor A SkfA	peg.191			
Antimicrobial protein SkfB	peg.192			
Antimicrobial protein SkfC	peg.193			
Amino terminal CAAX family protease SkfD	peg.194			
ABC transporter SkfE	peg.195			
ABC transporter ATP-binding protein SkfF	peg.196			
Protein SkfG	peg.197			
Protein SkfH	peg.198			
YBDE protein	peg.199			
Two-component response regulator ybdJ	peg.201			
sensor histidine kinase	peg.202|peg.377|peg.541|peg.932|peg.1328|peg.3308|peg.3327|peg.3413			
serine/threonine kinase	peg.204			
Amino acid permease	peg.207|peg.432|peg.656|peg.734|peg.946			
sporulation-specific SASP protein	peg.208			
Probable beta-lactamase ybxI precursor (EC 3.5.2.6)	peg.210	Beta-lactamase	Virulence	rxn07099
Cytochrome P450	peg.211			
Amino acid transporter	peg.213|peg.3453			
"Glycerophosphoryl diester phosphodiesterase, periplasmic (EC 3.1.4.46)"	peg.214	Glycerol_and_Glycerol-3-phosphate_Uptake_and_Utilization	Carbohydrates	rxn01073|rxn08669|rxn00758
Glycerol-3-phosphate transporter	peg.215	Glycerol_and_Glycerol-3-phosphate_Uptake_and_Utilization	Carbohydrates	rxn05578
"transporter, putative"	peg.218			
Permease of the drug/metabolite transporter (DMT) superfamily	peg.222|peg.1880|peg.3406|peg.4087	Cobalt-zinc-cadmium_resistance|Queuosine-Archaeosine_Biosynthesis	Virulence|RNA Metabolism	
"Transcriptional regulator, AraC family"	peg.223|peg.517|peg.2005			
Phosphoribosylglycinamide formyltransferase 2 (EC 2.1.2.-)	peg.224	De_Novo_Purine_Biosynthesis	Nucleosides and Nucleotides	rxn04783
extracellular metalloprotease	peg.225			
CDP-diacylglycerol--serine O-phosphatidyltransferase (EC 2.7.8.8)	peg.228	Glycerolipid_and_Glycerophospholipid_Metabolism_in_Bacteria	Fatty Acids and Lipids	rxn09206|rxn10227|rxn10230|rxn09208|rxn10226|rxn10228|rxn09210|rxn10231|rxn10229
DedA family protein	peg.229|peg.1345|peg.1822			
Phosphatidylserine decarboxylase (EC 4.1.1.65)	peg.230	Glycerolipid_and_Glycerophospholipid_Metabolism_in_Bacteria	Fatty Acids and Lipids	rxn10233|rxn09200|rxn10232|rxn09202|rxn10237|rxn10235|rxn10234|rxn09198|rxn10236
Succinoglycan biosynthesis protein	peg.232			
Right origin-binding protein	peg.233			
Rhodanese domain protein	peg.234			
Proton/aspartate symport protein	peg.235			rxn05217|rxn05297
Proton/glutamate symport protein	peg.235|peg.1022			rxn05217|rxn05298|rxn05297
"PTS system, Glucosamine-specific IIA component (EC 2.7.1.69)"	peg.236			rxn05569
"PTS system, Glucosamine-specific IIB component (EC 2.7.1.69)"	peg.236			rxn05569
"PTS system, Glucosamine-specific IIC component (EC 2.7.1.69)"	peg.236			rxn05569
Glucosamine-6-phosphate deaminase (EC 3.5.99.6)	peg.237|peg.3508	Chitin_and_N-acetylglucosamine_utilization|Formaldehyde_assimilation:_Ribulose_monophosphate_pathway|Sialic_Acid_Metabolism	Carbohydrates|Cell Wall and Capsule	rxn00552
Branched-chain amino acid aminotransferase (EC 2.6.1.42)	peg.240|peg.3860	"Alanine_biosynthesis|Aminotransferases:Aromatic_Pathway_and_More,_A_work_in_progress|Branched-Chain_Amino_Acid_Biosynthesis|Dehydrogenase_complexes|Isoleucine_degradation|Leucine_Biosynthesis|Leucine_Degradation_and_HMG-CoA_Metabolism|Methionine_Salvage|Pyruvate_Alanine_Serine_Interconversions|Valine_degradation"	Amino Acids and Derivatives|Carbohydrates	rxn01575|rxn00806|rxn00903
amino acid permease	peg.241|peg.312			
Homocysteine S-methyltransferase (EC 2.1.1.10)	peg.242	Methionine_Biosynthesis	Amino Acids and Derivatives	rxn00452
Sodium/glutamine symporter glnT	peg.243			rxn05216
Glutaminase (EC 3.5.1.2)	peg.244|peg.1485	"Glutamine,_Glutamate,_Aspartate_and_Asparagine_Biosynthesis"	Amino Acids and Derivatives	rxn00189
"Two-component sensor histidine kinase, controling glutamine utilization"	peg.245			
"Two-component response regulator, controling glutamine utilization"	peg.246			
5-dehydro-4-deoxyglucarate dehydratase (EC 4.2.1.41)	peg.247	"D-galactarate,_D-glucarate_and_D-glycerate_catabolism"	Carbohydrates	rxn01634
Ketoglutarate semialdehyde dehydrogenase (EC 1.2.1.26)	peg.248	"Proline,_4-hydroxyproline_uptake_and_utilization"	Amino Acids and Derivatives	rxn00196
D-glucarate permease	peg.249	"D-galactarate,_D-glucarate_and_D-glycerate_catabolism"	Carbohydrates	rxn05572|rxn05565
Glucarate dehydratase (EC 4.2.1.40)	peg.250	"D-galactarate,_D-glucarate_and_D-glycerate_catabolism"	Carbohydrates	rxn07845|rxn01989
Predicted 5-dehydro-4-deoxyglucarate regulator YcbG	peg.251	"D-galactarate,_D-glucarate_and_D-glycerate_catabolism"	Carbohydrates	
D-galactarate dehydratase (EC 4.2.1.42)	peg.252	"D-galactarate,_D-glucarate_and_D-glycerate_catabolism"	Carbohydrates	rxn03887
macrolide 2'-phosphotransferase	peg.253			
Permeases of the drug/metabolite transporter (DMT) superfamily	peg.255|peg.721			
DNA-binding response regulator	peg.256|peg.376|peg.542|peg.933|peg.2645			
two-component sensor histidine kinase	peg.257|peg.695|peg.758			
Bacitracin transport ATP-binding protein bcrA	peg.258			
Integral membrane protein	peg.260|peg.437|peg.1152|peg.1180|peg.1787|peg.3212			
Spore cortex-lytic enzyme CwlJ	peg.261			
"tellurium resistance protein, putative"	peg.262			
phosphodiesterase/alkaline phosphatase D	peg.263			
Twin-arginine translocation protein TatC	peg.265|peg.599	Twin-arginine_translocation_system	Protein Metabolism	
Pyrrolidone-carboxylate peptidase (EC 3.4.19.3)	peg.266			
Cysteine desulfurase (EC 2.8.1.7)	peg.267|peg.2754|peg.2962|peg.3274	Alanine_biosynthesis|Fe-S_cluster_assembly|YgfZ|mnm5U34_biosynthesis_bacteria|tRNA_modification_Archaea|tRNA_modification_Bacteria|tRNA_modification_yeast_cytoplasmic	"Amino Acids and Derivatives|Cofactors, Vitamins, Prosthetic Groups, Pigments|RNA Metabolism"	
lincomycin-resistance	peg.268			
negative regulation of the lincomycin operon (lmrBA)	peg.269			
L-asparaginase (EC 3.5.1.1)	peg.270|peg.2363	"Glutamine,_Glutamate,_Aspartate_and_Asparagine_Biosynthesis"	Amino Acids and Derivatives	rxn00342
lipase	peg.271			
YCZC protein	peg.272			
Autolysin response regulator	peg.275			
catalyses ATP-dependent electrogenic Na+ extrusion without mechanistically coupled H+ or K+ uptake	peg.276|peg.277			rxn05622
"oxidoreductase, aldo/keto reductase family"	peg.278|peg.2367			
L-alanoyl-D-glutamate peptidase	peg.282			rxn08775
response regulator aspartate phosphatase	peg.283|peg.378|peg.501|peg.684|peg.1895|peg.2585|peg.3645|peg.3752|peg.4036			
